timestamp,open,high,low,close,volume,trade_count,vwap,symbol
2024-01-01 00:00:00+00:00,0.7753,0.8478,0.7557,0.8438,49861871.3,125973,0.799360480592713,SUIUSDT
2024-01-02 00:00:00+00:00,0.8438,0.932,0.84,0.9062,84656192.4,254309,0.88390385574771,SUIUSDT
2024-01-03 00:00:00+00:00,0.9061,0.942,0.68,0.8437,117518664.7,348196,0.8326314757407213,SUIUSDT
2024-01-04 00:00:00+00:00,0.8433,0.8711,0.8052,0.8535,66211263.3,216223,0.8398163264228188,SUIUSDT
2024-01-05 00:00:00+00:00,0.8538,0.9007,0.7676,0.8999,103603153.7,347710,0.8236157611461783,SUIUSDT
2024-01-06 00:00:00+00:00,0.9,0.9,0.8072,0.8316,107795140.0,296610,0.8548811299256164,SUIUSDT
2024-01-07 00:00:00+00:00,0.8314,0.8611,0.7913,0.8002,58673033.6,150167,0.829402400387731,SUIUSDT
2024-01-08 00:00:00+00:00,0.7998,0.8843,0.7201,0.8599,101693897.9,279244,0.7952051643302188,SUIUSDT
2024-01-09 00:00:00+00:00,0.86,0.8743,0.7758,0.7983,68032703.8,285069,0.820634756271586,SUIUSDT
2024-01-10 00:00:00+00:00,0.7982,0.8622,0.7601,0.842,67551369.3,251270,0.8047102406400813,SUIUSDT
2024-01-11 00:00:00+00:00,0.8419,1.15,0.8301,1.0927,230058893.7,741509,1.0009225502799157,SUIUSDT
2024-01-12 00:00:00+00:00,1.0928,1.2266,1.0434,1.1685,227509398.0,964888,1.1388214270855748,SUIUSDT
2024-01-13 00:00:00+00:00,1.1685,1.3645,1.1196,1.2895,190351346.8,822875,1.2632556840820839,SUIUSDT
2024-01-14 00:00:00+00:00,1.2892,1.3536,1.2321,1.2506,96303379.3,409763,1.2788109789128657,SUIUSDT
2024-01-15 00:00:00+00:00,1.2508,1.4508,1.25,1.3716,138216376.7,585675,1.3833950343868333,SUIUSDT
2024-01-16 00:00:00+00:00,1.3721,1.3986,1.2394,1.2704,82880388.4,328020,1.3017748276612806,SUIUSDT
2024-01-17 00:00:00+00:00,1.2702,1.3299,1.202,1.2933,87158187.3,307397,1.2712864673911133,SUIUSDT
2024-01-18 00:00:00+00:00,1.2934,1.3472,1.1438,1.1586,102146734.8,329823,1.2360070662377158,SUIUSDT
2024-01-19 00:00:00+00:00,1.1586,1.1923,1.084,1.1659,90967523.9,261167,1.138341364986741,SUIUSDT
2024-01-20 00:00:00+00:00,1.1659,1.1663,1.057,1.1024,61866223.8,150858,1.0962350193036996,SUIUSDT
2024-01-21 00:00:00+00:00,1.1023,1.13,1.0552,1.0613,46336048.2,116339,1.0988412028033068,SUIUSDT
2024-01-22 00:00:00+00:00,1.0611,1.1312,1.0074,1.0739,101333899.6,257185,1.0631253490217996,SUIUSDT
2024-01-23 00:00:00+00:00,1.0738,1.2274,1.013,1.1859,215824409.2,598538,1.1171430911016713,SUIUSDT
2024-01-24 00:00:00+00:00,1.186,1.3175,1.1424,1.2926,130547364.9,355155,1.236354684499955,SUIUSDT
2024-01-25 00:00:00+00:00,1.2925,1.294,1.1625,1.1785,91191076.2,396413,1.2245730629308003,SUIUSDT
2024-01-26 00:00:00+00:00,1.1785,1.4722,1.1564,1.4588,123269992.9,608039,1.3097393502869261,SUIUSDT
2024-01-27 00:00:00+00:00,1.4589,1.496,1.3694,1.3946,82738155.7,425559,1.4169266173463906,SUIUSDT
2024-01-28 00:00:00+00:00,1.3947,1.4894,1.3101,1.3331,85197325.9,382425,1.386680875485201,SUIUSDT
2024-01-29 00:00:00+00:00,1.3331,1.5882,1.3272,1.5623,114103154.3,609130,1.4742270612144681,SUIUSDT
2024-01-30 00:00:00+00:00,1.5624,1.65,1.5142,1.5448,94120047.4,485983,1.5830278303240632,SUIUSDT
2024-01-31 00:00:00+00:00,1.5447,1.6399,1.48,1.5187,113922171.7,564913,1.5745057705669598,SUIUSDT
2024-02-01 00:00:00+00:00,1.5186,1.5679,1.4319,1.5259,91534788.0,450172,1.4901871213936717,SUIUSDT
2024-02-02 00:00:00+00:00,1.5259,1.5454,1.4447,1.4625,55324328.9,239018,1.4859003601223981,SUIUSDT
2024-02-03 00:00:00+00:00,1.4625,1.4851,1.3877,1.4377,51362761.8,202474,1.4264460136660722,SUIUSDT
2024-02-04 00:00:00+00:00,1.4376,1.5403,1.4237,1.4647,57462915.1,248591,1.4904091631386795,SUIUSDT
2024-02-05 00:00:00+00:00,1.4644,1.663,1.433,1.576,71896899.9,313754,1.5583755942909576,SUIUSDT
2024-02-06 00:00:00+00:00,1.5758,1.6152,1.51,1.5178,53454617.5,229688,1.551922742494603,SUIUSDT
2024-02-07 00:00:00+00:00,1.5181,1.5608,1.4861,1.5411,52886300.6,255749,1.5256270302349337,SUIUSDT
2024-02-08 00:00:00+00:00,1.5407,1.587,1.504,1.5262,42000939.7,180177,1.5399122143757653,SUIUSDT
2024-02-09 00:00:00+00:00,1.5261,1.808,1.5195,1.7612,90322002.0,408749,1.6740656473124897,SUIUSDT
2024-02-10 00:00:00+00:00,1.7613,1.8139,1.6994,1.7315,54169291.5,256414,1.7488293202817689,SUIUSDT
2024-02-11 00:00:00+00:00,1.7315,1.7987,1.678,1.6945,41853407.5,197764,1.7257022900684968,SUIUSDT
2024-02-12 00:00:00+00:00,1.6944,1.8299,1.6869,1.7619,72512722.9,329668,1.7608539433788108,SUIUSDT
2024-02-13 00:00:00+00:00,1.7619,1.8796,1.728,1.8558,74022290.1,344614,1.8098782159013478,SUIUSDT
2024-02-14 00:00:00+00:00,1.8559,1.974,1.8126,1.9054,56848795.9,284622,1.8959318918360768,SUIUSDT
2024-02-15 00:00:00+00:00,1.9052,1.9467,1.8202,1.8629,57846445.2,290983,1.8747595651021955,SUIUSDT
2024-02-16 00:00:00+00:00,1.8628,1.8809,1.7436,1.8072,43569712.3,225504,1.8070415927127894,SUIUSDT
2024-02-17 00:00:00+00:00,1.8074,1.8142,1.7022,1.7677,39362421.8,174793,1.7540986386757333,SUIUSDT
2024-02-18 00:00:00+00:00,1.7677,1.8157,1.7332,1.7997,42587814.4,184964,1.7752473344281314,SUIUSDT
2024-02-19 00:00:00+00:00,1.7996,1.8341,1.7367,1.7735,43431578.8,212634,1.7852818676232423,SUIUSDT
