Date,close,high,low,open,volume
2020-01-02,162.57000732421875,162.57000732421875,159.10000610351562,159.50999450683594,449900
2020-01-03,164.0,164.39999389648438,160.8000030517578,161.6199951171875,497400
2020-01-06,167.0,167.13999938964844,162.33299255371094,162.69000244140625,504700
2020-01-07,168.5,168.6300048828125,165.85000610351562,167.39999389648438,462200
2020-01-08,173.0,173.6699981689453,168.99000549316406,169.10000610351562,849100
2020-01-09,177.27999877929688,178.0780029296875,173.52000427246094,175.17999267578125,874900
2020-01-10,175.77000427246094,181.3000030517578,175.3000030517578,179.9199981689453,609300
2020-01-13,179.4199981689453,181.6999969482422,176.63999938964844,176.88999938964844,581900
2020-01-14,179.5399932861328,180.19000244140625,175.8000030517578,179.2899932861328,572500
2020-01-15,182.60000610351562,185.5,179.36000061035156,180.14999389648438,743600
2020-01-16,181.7100067138672,184.42999267578125,180.24000549316406,183.05999755859375,464900
2020-01-17,181.72000122070312,182.5,179.00999450683594,181.83999633789062,409800
2020-01-21,181.83999633789062,184.8000030517578,181.32000732421875,181.6699981689453,428500
2020-01-22,183.42999267578125,186.1750030517578,182.32000732421875,183.33999633789062,429800
2020-01-23,185.41000366210938,186.10000610351562,182.60000610351562,184.13999938964844,377300
2020-01-24,184.85000610351562,188.85000610351562,183.05999755859375,186.8699951171875,478900
2020-01-27,182.55999755859375,184.24000549316406,178.50999450683594,180.6300048828125,387200
2020-01-28,184.41000366210938,185.4080047607422,182.4499969482422,183.5,210900
2020-01-29,182.52000427246094,185.88999938964844,182.25,185.88999938964844,335000
2020-01-30,183.91000366210938,185.47999572753906,180.75,181.07000732421875,601100
2020-01-31,180.94000244140625,183.4600067138672,178.75,183.10000610351562,335600
2020-02-03,182.91000366210938,183.6300048828125,180.10000610351562,181.0,415200
2020-02-04,185.72000122070312,186.72000122070312,184.00999450683594,184.47999572753906,471800
2020-02-05,177.17999267578125,187.77999877929688,176.74000549316406,187.77999877929688,522800
2020-02-06,179.24000549316406,179.68899536132812,174.13999938964844,177.52000427246094,382200
2020-02-07,179.47000122070312,182.8300018310547,177.0,178.6199951171875,284600
2020-02-10,183.44000244140625,184.7100067138672,178.89999389648438,179.0800018310547,539600
2020-02-11,181.89999389648438,185.07000732421875,180.89500427246094,184.94000244140625,404400
2020-02-12,184.1699981689453,184.88999938964844,177.00999450683594,182.10000610351562,868100
2020-02-13,197.33999633789062,201.49000549316406,180.0,180.0,1818900
2020-02-14,197.77999877929688,200.44000244140625,195.5800018310547,197.14999389648438,544400
2020-02-18,196.97000122070312,198.0399932861328,193.10000610351562,196.39999389648438,485100
2020-02-19,198.52999877929688,201.375,197.33999633789062,198.14999389648438,428600
2020-02-20,194.24000549316406,200.13999938964844,190.5,197.80999755859375,441100
2020-02-21,185.92999267578125,193.4499969482422,185.00999450683594,193.41000366210938,568300
2020-02-24,180.10000610351562,181.1300048828125,171.55999755859375,175.1999969482422,917600
2020-02-25,178.8300018310547,182.48300170898438,175.42999267578125,181.35000610351562,629900
2020-02-26,180.85000610351562,183.3699951171875,178.2100067138672,179.0399932861328,577100
2020-02-27,175.66000366210938,181.38499450683594,171.25,172.58999633789062,582700
2020-02-28,179.4499969482422,179.67999267578125,168.7899932861328,169.94000244140625,783000
2020-03-02,180.61000061035156,182.33999633789062,174.00999450683594,181.30999755859375,439500
2020-03-03,175.22000122070312,182.6300048828125,169.27000427246094,180.6199951171875,830900
2020-03-04,179.52999877929688,179.77000427246094,172.97999572753906,178.64999389648438,346100
2020-03-05,172.22000122070312,177.5,169.99000549316406,175.74000549316406,563600
2020-03-06,165.63999938964844,167.49000549316406,158.77499389648438,167.0500030517578,885100
2020-03-09,142.6199951171875,153.0500030517578,136.25,152.52000427246094,1958600
2020-03-10,147.57000732421875,149.19000244140625,140.95399475097656,146.1999969482422,996000
2020-03-11,137.30999755859375,144.30999755859375,133.94000244140625,143.75999450683594,946000
2020-03-12,122.51000213623047,129.99000549316406,120.83000183105469,127.26000213623047,1500600
2020-03-13,134.4199981689453,134.6699981689453,116.0999984741211,128.02000427246094,1214500
2020-03-16,110.01000213623047,124.26399993896484,108.94999694824219,121.0,1289600
2020-03-17,111.5199966430664,123.9800033569336,104.33300018310547,112.81999969482422,1678900
2020-03-18,104.70999908447266,105.66000366210938,90.83499908447266,104.66000366210938,1950100
2020-03-19,117.0,118.1500015258789,95.75,102.9000015258789,1340800
2020-03-20,117.79000091552734,127.69999694824219,116.01000213623047,120.4000015258789,2002400
2020-03-23,108.0199966430664,119.60299682617188,105.0199966430664,117.30000305175781,1023100
