Date,close,high,low,open,volume
2020-01-02,4.291454792022705,4.381611314985323,4.273423057529969,4.336532838553908,11674700
2020-01-03,4.246376037597656,4.390626464894333,4.219328867529438,4.381611028138383,11971200
2020-01-06,4.1922831535339355,4.354564923965465,4.138189230056759,4.354564923965465,14538300
2020-01-07,4.291454792022705,4.318501533961384,4.13818848803615,4.183266534567352,12641900
2020-01-08,4.07507848739624,4.31850130122676,4.057047183775468,4.300469997605989,15733700
2020-01-09,4.0209856033325195,4.093110836233503,4.002954295107274,4.0209856033325195,7273100
2020-01-10,4.084095001220703,4.138188920653395,4.039016520076665,4.039016520076665,7141700
2020-01-13,3.921811103820801,4.0931086556529825,3.921811103820801,4.0480301941550145,7980000
2020-01-14,4.030000686645508,4.048031993278587,3.8767347952144613,3.8947661018475412,11617100
2020-01-15,4.174251079559326,4.201297821383567,4.066063252461944,4.066063252461944,11811500
2020-01-16,4.138189315795898,4.18326737134404,4.102126699397266,4.165236063144723,10426200
2020-01-17,4.0570478439331055,4.156220244934653,4.039016537378302,4.147204376707123,7429100
2020-01-21,4.2193284034729,4.237359704901839,4.020984087754574,4.084093857705928,11944200
2020-01-22,4.246376037597656,4.2553914743536065,4.165234957293184,4.246376037597656,7872000
2020-01-23,4.282438278198242,4.372594787548702,4.210313070717874,4.246375674458058,10624000
2020-01-24,4.435705184936523,4.435705184936523,4.2734230153070065,4.2914547496215825,11496500
2020-01-27,4.4266886711120605,4.552908213474221,4.363579329831126,4.516845609913645,17398800
2020-01-28,4.327518463134766,4.41767500822084,4.237361488148373,4.372596520727644,12567700
2020-01-29,4.507830619812012,4.516846487403745,4.318501699387888,4.327517566979623,14862200
2020-01-30,4.507830619812012,4.543893230378489,4.417674093395817,4.52586192509525,17547200
2020-01-31,4.570940017700195,4.643065232749477,4.489798935819659,4.498814372750722,18725600
2020-02-03,4.516845226287842,4.597985862457609,4.480782195890035,4.525860661462212,12981400
