timestamp,symbol,sma,pct_change,trend_pnl
2025-10-24T17:16:12.223610+00:00,SMH,316.6800,0.575159,128.4100
2025-10-24T17:16:12.223610+00:00,QQQ,590.7640,0.402919,177.4410
2025-10-24T17:16:12.223610+00:00,SOXX,266.1040,0.345446,76.2400
2025-10-24T17:16:12.223610+00:00,XLY,235.7558,0.341710,60.7800
2025-10-24T17:16:12.223610+00:00,IWM,239.8256,0.220475,45.1400
2025-10-24T17:16:12.223610+00:00,AAPL,819.4660,0.000000,-6967.0744
2025-10-24T17:16:12.223610+00:00,MSFT,672.5415,0.000000,5796.0879
2025-10-24T17:16:12.223610+00:00,XLK,275.3622,0.000000,87.3900
2025-10-24T17:25:28.102755+00:00,SMH,316.6876,0.576861,128.7900
2025-10-24T17:25:28.102755+00:00,QQQ,590.7678,0.403350,177.6310
2025-10-24T17:25:28.102755+00:00,SOXX,266.1122,0.347304,76.6500
2025-10-24T17:25:28.102755+00:00,XLY,235.7506,0.340248,60.5200
2025-10-24T17:25:28.102755+00:00,IWM,239.8281,0.221085,45.2650
2025-10-24T17:25:28.102755+00:00,AAPL,819.4660,0.000000,-6967.0744
2025-10-24T17:25:28.102755+00:00,MSFT,672.5415,0.000000,5796.0879
2025-10-24T17:25:28.102755+00:00,XLK,275.3622,0.000000,87.3900
2025-10-24T17:26:30.387412+00:00,QQQ,590.7678,0.403350,177.6310
2025-10-24T17:27:51.062935+00:00,SMH,316.6856,0.576413,128.6900
2025-10-24T17:27:51.062935+00:00,QQQ,590.7646,0.402987,177.4710
2025-10-24T17:27:51.062935+00:00,SOXX,266.1108,0.346987,76.5800
2025-10-24T17:27:51.062935+00:00,XLY,235.7492,0.339855,60.4500
2025-10-24T17:27:51.062935+00:00,XLI,152.4825,0.239433,29.9650
2025-10-24T17:27:51.062935+00:00,IWM,239.8278,0.221012,45.2500
2025-10-24T17:38:01.968919+00:00,SMH,316.6826,0.575741,128.5400
2025-10-24T17:38:01.968919+00:00,QQQ,590.7634,0.402851,177.4110
2025-10-24T17:38:01.968919+00:00,SOXX,266.1074,0.346217,76.4100
2025-10-24T17:38:01.968919+00:00,XLY,235.7514,0.340473,60.5600
2025-10-24T17:38:01.968919+00:00,IWM,239.8290,0.221305,45.3100
2025-10-24T17:38:01.968919+00:00,AAPL,819.4660,0.000000,-6967.0744
2025-10-24T17:38:01.968919+00:00,MSFT,672.5415,0.000000,5796.0879
2025-10-24T17:38:01.968919+00:00,XLK,275.3622,0.000000,87.3900
2025-10-24T17:48:03.182521+00:00,SMH,316.6858,0.576458,128.7000
2025-10-24T17:48:03.182521+00:00,QQQ,590.7668,0.403237,177.5810
2025-10-24T17:48:03.182521+00:00,SOXX,266.1104,0.346896,76.5600
2025-10-24T17:48:03.182521+00:00,XLY,235.7514,0.340473,60.5600
2025-10-24T17:48:03.182521+00:00,IWM,239.8320,0.222038,45.4600
2025-10-24T17:48:03.182521+00:00,AAPL,819.4660,0.000000,-6967.0744
2025-10-24T17:48:03.182521+00:00,MSFT,672.5415,0.000000,5796.0879
2025-10-24T17:48:03.182521+00:00,XLK,275.3622,0.000000,87.3900
2025-10-24T17:51:11.996951+00:00,SMH,316.6830,0.575831,128.5600
2025-10-24T17:51:11.996951+00:00,QQQ,590.7672,0.403282,177.6010
2025-10-24T17:51:11.996951+00:00,SOXX,266.1070,0.346126,76.3900
2025-10-24T17:51:11.996951+00:00,XLY,235.7518,0.340586,60.5800
2025-10-24T17:51:11.996951+00:00,IWM,239.8294,0.221403,45.3301
2025-10-24T17:51:11.996951+00:00,AAPL,819.4660,0.000000,-6967.0744
2025-10-24T17:51:11.996951+00:00,MSFT,672.5415,0.000000,5796.0879
2025-10-24T17:51:11.996951+00:00,XLK,275.3622,0.000000,87.3900
2025-10-24T17:53:02.071754+00:00,SMH,316.6856,0.576413,128.6900
2025-10-24T17:53:02.071754+00:00,QQQ,590.7690,0.403486,177.6910
2025-10-24T17:53:02.071754+00:00,SOXX,266.1094,0.346669,76.5099
2025-10-24T17:53:02.071754+00:00,XLY,235.7504,0.340192,60.5100
2025-10-24T17:53:02.071754+00:00,IWM,239.8283,0.221134,45.2750
2025-10-24T17:53:02.071754+00:00,AAPL,819.4660,0.000000,-6967.0744
2025-10-24T17:53:02.071754+00:00,MSFT,672.5415,0.000000,5796.0879
2025-10-24T17:53:02.071754+00:00,XLK,275.3622,0.000000,87.3900
2025-10-24T18:05:14.505929+00:00,SMH,316.6894,0.577264,128.8800
2025-10-24T18:05:14.505929+00:00,QQQ,590.7748,0.404145,177.9810
2025-10-24T18:05:14.505929+00:00,SOXX,266.1112,0.347077,76.6000
2025-10-24T18:05:14.505929+00:00,XLY,235.7522,0.340698,60.6000
2025-10-24T18:05:14.505929+00:00,IWM,239.8290,0.221305,45.3100
2025-10-24T18:05:14.505929+00:00,AAPL,819.4660,0.000000,-6967.0744
