mode,steps,step_size,top_k,symbols,initial_cash,kronos_only,real_analytics,sharpe_cutoff,kronos_sharpe_cutoff,flatten_end,return,sharpe,pnl,cash,balance,max_drawdown,max_drawdown_pct,fees_paid
simulation,4,1,4,['AAPL'],100000.0,True,True,,-1.0,True,0.015049112304312294,8.69093347739354,1504.9112304312293,101504.91123043123,101504.91123043123,329.01149787337636,0.0032409586607315133,38.34543555666812
simulation,20,1,4,"['AAPL', 'MSFT', 'NVDA']",100000.0,True,True,,-1.0,True,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0
simulation,20,1,4,"['AAPL', 'MSFT', 'NVDA']",100000.0,True,True,,-1.0,True,-0.001249809726033127,-0.22616454779195824,-124.9809726033127,99875.01902739669,99875.01902739669,1637.3302620282193,0.01612962719894561,96.95343897419072
simulation,4,1,4,['AAPL'],100000.0,True,True,,-1.0,True,-0.0024821750045726366,-7.469431658103566,-248.21750045726367,99751.78249954274,99751.78249954274,350.00098553254793,0.0034994643176888005,13.587294577752443
simulation,20,1,4,"['AAPL', 'MSFT', 'NVDA']",100000.0,True,True,,-1.0,True,0.009647289154887549,1.5605297310182835,964.7289154887549,100964.72891548875,100964.72891548875,1290.186406737601,0.012709852276257537,94.91768653814896
simulation,4,1,4,['AAPL'],100000.0,True,True,,-1.0,True,0.016359886569506925,10.02915966678771,1635.9886569506925,101635.98865695069,101635.98865695069,329.01149787337636,0.003237144336675595,31.737458332020722
simulation,20,1,4,"['AAPL', 'MSFT', 'NVDA']",100000.0,True,True,,-1.0,True,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0
simulation,20,1,4,"['AAPL', 'MSFT', 'NVDA']",100000.0,True,True,,-1.0,True,-0.0015020894514584506,-0.2918052225819008,-150.20894514584506,99849.79105485415,99849.79105485415,2028.6229561971995,0.019916486635818596,94.47619035728867
simulation,20,1,4,"['AAPL', 'MSFT', 'NVDA']",100000.0,True,True,,-1.0,True,-0.0015020894514584506,-0.2918052225819008,-150.20894514584506,99849.79105485415,99849.79105485415,2028.6229561971995,0.019916486635818596,94.47619035728867
simulation,20,1,4,"['AAPL', 'MSFT', 'NVDA']",100000.0,True,True,,-1.0,True,0.012833937794670928,2.0102883864316747,1283.3937794670928,101283.3937794671,101283.3937794671,1474.4192995692865,0.014475460896149967,92.5433208892243
