symbol,config,best_epoch,val_sortino,val_return,sharpness,wd_scale,wall_s,error
DOGEUSD,periodic_rho005,4,107.71,2.3721,1035.1,2.0,0,
DOGEUSD,lr5e4_periodic,10,104.761,1.972,866.7,2.0,0,
BCHUSD,baseline_wd01,9,101.604,1.5751,0.0,1.0,0,
BCHUSD,baseline_wd01,9,101.604,1.5751,0.0,1.0,0,
BTCUSD,periodic_wd01,13,96.696,2.3096,388.6,1.75,0,
BCHUSD,periodic_wd01,5,92.27,1.5928,566.4,1.9,0,
BCHUSD,periodic_wd01,5,92.27,1.5928,566.4,1.9,0,
ETHUSD,baseline_wd01,9,91.74,2.9745,0.0,1.0,0,
DOGEUSD,periodic_rho01,4,91.736,1.8714,429.0,2.0,0,
BTCUSD,periodic_wd01,7,85.917,2.0298,411.7,1.8,0,
BTCUSD,baseline_wd01,6,78.139,1.5749,0.0,1.0,0,
BTCUSD,baseline_wd01,6,78.139,1.5749,0.0,1.0,0,
ETHUSD,periodic_wd01,9,72.955,3.1655,708.5,2.0,0,
BNBUSD,baseline_wd01,9,50.533,1.8528,0.0,1.0,0,
BNBUSD,baseline_wd01,9,50.533,1.8528,0.0,1.0,0,
BNBUSD,periodic_wd01,3,37.302,1.7287,729.9,1.35,0,
BNBUSD,periodic_wd01,3,37.302,1.7287,729.9,1.35,0,
DOTUSD,fullsam_wd01,10,10.52,-1.006,554.7,1.0,0,
DOTUSD,fullsam_wd01_adaptive,10,10.52,-1.006,554.7,1.0,0,
ARBUSD,fullsam_wd01,1,5.739,-1.7081,454.5,1.0,0,
ARBUSD,fullsam_wd01_adaptive,1,5.739,-1.7081,454.5,1.0,0,
