symbol,name,best_epoch,best_val_sortino,best_val_return,sharpness_ema,wd_scale,wall_s,error
DOTUSD,fullstack_spec_multi,15,263.547,7.7807,2154.2,2.0,3828.0,
DOTUSD,long40ep_lr1e4_sam,27,262.65,7.2809,1653.5,2.0,6830.0,
DOTUSD,barshift5_sam_swa,12,235.373,7.0006,0,1,2927.0,
APTUSD,lr5e4_sam_cosine_wd01,11,217.515,4.2081,971.5,2.0,1265.0,
APTUSD,long40ep_lr1e4_sam,13,213.938,4.3848,1103.9,2.0,1765.0,
ARBUSD,barshift5_sam_swa,8,213.624,4.5922,0,1,3522.0,
APTUSD,fullstack_spec_multi,11,199.718,4.4457,1520.4,2.0,1658.0,
INJUSD,long40ep_lr1e4_sam,23,198.665,4.4248,1201.9,2.0,2594.0,
INJUSD,sam_swa_wd015,11,197.192,3.9874,0,1,1257.0,
APTUSD,sam_swa_wd015,3,195.214,3.5317,0,1,931.0,
ALGOUSD,lr5e4_sam_cosine_wd01,6,192.45,3.9189,1268.4,2.0,1193.0,
ARBUSD,long40ep_lr1e4_sam,8,192.327,4.6984,1227.0,2.0,3639.0,
APTUSD,barshift5_sam_swa,14,191.279,4.4722,0,1,1265.0,
ARBUSD,fullstack_spec_multi,13,190.978,4.8271,1325.9,2.0,4474.0,
ALGOUSD,sam_swa_wd015,12,189.794,4.3748,0,1,1259.0,
ALGOUSD,fullstack_spec_multi,3,189.253,3.511,1478.7,2.0,1199.0,
ARBUSD,sam_swa_wd015,9,189.168,3.6947,0,1,3418.0,
INJUSD,fullstack_spec_multi,9,181.913,3.772,1336.7,2.0,1628.0,
INJUSD,barshift5_sam_swa,14,176.143,4.163,0,1,1257.0,
ALGOUSD,barshift5_sam_swa,6,173.919,3.6581,0,1,1176.0,
INJUSD,lr5e4_sam_cosine_wd01,11,173.768,4.2673,1240.5,2.0,1257.0,
DOTUSD,sam_swa_wd015,12,172.891,7.5948,0,1,2991.0,
ARBUSD,lr5e4_sam_cosine_wd01,11,169.861,5.2729,1093.9,2.0,3462.0,
ALGOUSD,long40ep_lr1e4_sam,20,163.887,4.6797,1015.8,2.0,2638.0,
DOTUSD,lr5e4_sam_cosine_wd01,12,147.193,5.3034,1345.3,2.0,2912.0,
