symbol,name,best_epoch,best_val_sortino,best_val_return,sharpness_ema,wd_scale,wall_s,error
NEARUSD,fullstack_spec_multi,8,212.115,3.8316,1522.2,2.0,5493.0,
OPUSD,fullstack_spec_multi,7,175.129,4.9529,1334.2,2.0,1394.0,
SEIUSD,fullstack_spec_multi,5,168.412,3.5171,1019.6,2.0,1433.0,
TAOUSD,fullstack_spec_multi,7,139.926,3.4683,1071.7,2.0,1404.0,
POLUSD,fullstack_spec_multi,12,130.984,2.9947,888.6,1.48,1437.0,
RENDERUSD,fullstack_spec_multi,12,107.643,2.9919,957.0,1.46,1410.0,
PEPEUSD,fullstack_spec_multi,6,107.355,2.8366,2230.0,1.84,1397.0,
XLMUSD,fullstack_spec_multi,9,106.308,2.2047,886.1,1.67,1391.0,
TIAUSD,fullstack_spec_multi,12,96.974,2.7869,984.7,2.0,1394.0,
SOLUSD,fullstack_spec_multi,12,83.602,2.2072,1282.2,2.0,5420.0,
LTCUSD,fullstack_spec_multi,12,82.624,1.5498,801.4,1.88,1209.0,
XRPUSD,fullstack_spec_multi,12,67.958,1.8319,808.7,2.0,1353.0,
SUIUSD,fullstack_spec_multi,11,23.166,0.621,910.2,2.0,1210.0,
SHIBUSD,fullstack_spec_multi,2,15.985,8.459,0.2,0.5,3248.0,
MATICUSD,fullstack_spec_multi,8,10.954,-0.663,421.0,1.0,134.0,
UNIUSD,fullstack_spec_multi,12,7.367,-0.7326,761.7,1.0,157.0,
TRXUSD,fullstack_spec_multi,11,3.749,0.0395,240.3,0.75,1367.0,
