symbol,name,best_epoch,best_val_sortino,best_val_return,sharpness_ema,wd_scale,wall_s,error
ARBUSD,periodic_wd01_rho02,7,220.094,4.7116,256.5,2.0,2263.0,
ARBUSD,periodic_wd01_target05,8,213.624,4.5922,944.5,2.0,2262.0,
APTUSD,fullsam_wd01,9,206.662,3.2525,3510.5,1.0,1640.0,
APTUSD,fullsam_wd01_adaptive,9,206.662,3.2525,3510.5,1.0,1617.0,
DOTUSD,periodic_wd01_target05,7,202.477,6.3152,1650.7,2.0,1953.0,
ARBUSD,periodic_wd01_rho01,8,196.582,5.1579,515.5,2.0,2272.0,
DOTUSD,periodic_wd01_probe5,8,189.652,5.6067,1193.4,2.0,1969.0,
DOTUSD,periodic_wd01_rho02,9,189.437,6.2904,351.9,2.0,1955.0,
APTUSD,periodic_wd01_probe5,9,189.063,4.2656,1162.5,2.0,843.0,
APTUSD,periodic_wd01_rho01,5,187.739,4.6382,774.4,2.0,863.0,
DOTUSD,periodic_wd01_rho01,8,186.815,5.4941,747.8,2.0,1962.0,
APTUSD,periodic_wd01_rho02,6,186.141,4.059,236.2,1.46,851.0,
ARBUSD,periodic_wd01_probe5,4,182.355,4.6763,1578.3,2.0,2277.0,
APTUSD,periodic_wd01_target05,8,180.094,4.0779,1105.5,1.63,834.0,
DOTUSD,fullsam_wd01,10,10.52,-1.006,554.7,1.0,3853.0,
DOTUSD,fullsam_wd01_adaptive,10,10.52,-1.006,554.7,1.0,3848.0,
ARBUSD,fullsam_wd01,1,5.739,-1.7081,325.0,1.0,4021.0,
ARBUSD,fullsam_wd01_adaptive,1,5.739,-1.7081,325.0,1.0,4210.0,
