description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
c70_tp05_slip5_s601,0.9189,2.54,0.5086,0.9189,0,308,09bdc357,2026-03-25T10:20:46
c70_tp05_slip5_s602,4.2053,5.54,0.6953,4.2053,0,356,ef06cdc7,2026-03-25T10:26:42
c70_tp05_slip5_s603,0.6406,2.59,0.5486,0.6406,0,309,6a9e2bb5,2026-03-25T10:31:51
c70_tp05_slip5_s604,-0.2856,-0.21,0.5161,-0.2856,0,333,e1196186,2026-03-25T10:37:25
c70_tp05_slip5_s605,0.0355,0.85,0.5605,0.0355,0,327,f699aa0e,2026-03-25T10:42:51
c70_tp05_slip5_s606,0.629,6.68,0.5117,0.629,0,309,9547170a,2026-03-25T10:48:00
c70_tp05_slip5_s607,0.5279,2.29,0.5673,0.5279,0,306,2be70cc0,2026-03-25T10:53:06
c70_tp05_slip5_s608,0.4729,2.33,0.4977,0.4729,0,308,d8fbdc14,2026-03-25T10:58:14
c70_tp05_slip5_s609,5.7868,5.08,0.7112,5.7868,0,312,defca2c0,2026-03-25T11:03:25
c70_tp05_slip5_s610,0.0792,1.33,0.4617,0.0792,0,311,41744fef,2026-03-25T11:08:36
c70_tp05_slip5_s611,-0.2204,0.22,0.5108,-0.2204,0,330,02710f72,2026-03-25T11:14:06
c70_tp05_slip5_s612,1.6598,3.08,0.5685,1.6598,0,311,c409e799,2026-03-25T11:19:17
c70_tp05_slip5_s613,-0.1433,0.56,0.5328,-0.1433,0,340,21a379bf,2026-03-25T11:24:57
c70_tp05_slip5_s614,-0.2793,0.11,0.4585,-0.2793,0,342,89723f5a,2026-03-25T11:30:39
c70_tp05_slip5_s615,1.0545,2.77,0.5276,1.0545,0,378,86615b8c,2026-03-25T11:36:57
c70_tp05_slip5_s616,-0.0638,1.3,0.552,-0.0638,0,339,6dc1b7c0,2026-03-25T11:42:36
c70_tp05_slip5_s617,1.291,2.94,0.5585,1.291,0,313,8d1aeb35,2026-03-25T11:47:49
c70_tp05_slip5_s618,0.5378,2.36,0.5891,0.5378,0,309,e9f4960a,2026-03-25T11:52:57
c70_tp05_slip5_s619,0.5086,1.99,0.5687,0.5086,0,314,d4e5d1ce,2026-03-25T11:58:11
c70_tp05_slip5_s620,1.1436,2.83,0.56,1.1436,0,314,88dfc782,2026-03-25T12:03:25
c70_tp05_slip5_s621,2.6875,4.25,0.5593,2.6875,0,377,12844825,2026-03-25T12:09:43
c70_tp05_slip5_s622,0.167,2.08,0.5908,0.167,0,340,ec6ee801,2026-03-25T12:15:22
c70_tp05_slip5_s623,1.832,3.02,0.5858,1.832,0,316,41c54741,2026-03-25T12:20:38
c70_tp05_slip5_s624,-0.2283,0.08,0.5632,-0.2283,0,335,238d1b53,2026-03-25T12:26:13
c70_tp05_slip5_s625,0.2897,2.14,0.5861,0.2897,0,317,0f53e8f3,2026-03-25T12:31:30
c70_tp05_slip5_s626,0.3176,2.53,0.535,0.3176,0,310,3682313d,2026-03-25T12:36:39
c70_tp05_slip5_s627,0.5289,2.53,0.5831,0.5289,0,311,3a410fa2,2026-03-25T12:41:50
c70_tp05_slip5_s628,6.8395,6.65,0.6032,6.8395,0,378,65d7f2fd,2026-03-25T12:48:08
c70_tp05_slip5_s629,0.6642,2.45,0.6149,0.6642,0,313,88537790,2026-03-25T12:53:21
c70_tp05_slip5_s630,0.4878,2.19,0.6097,0.4878,0,308,e4efbb64,2026-03-25T12:58:29
c70_tp05_slip5_s631,-0.124,0.66,0.5145,-0.124,0,346,bcbaced5,2026-03-25T13:04:15
c70_tp05_slip5_s632,1.6525,2.69,0.6546,1.6525,0,307,cfc85fc1,2026-03-25T13:09:23
c70_tp05_slip5_s633,0.274,2.0,0.5383,0.274,0,308,6d5bcb6f,2026-03-25T13:14:31
c70_tp05_slip5_s634,1.4126,3.14,0.5709,1.4126,0,377,86851eda,2026-03-25T13:20:48
c70_tp05_slip5_s635,1.9851,3.66,0.5716,1.9851,0,382,6e60160d,2026-03-25T13:27:10
c70_tp05_slip5_s636,0.0591,4.47,0.5684,0.0591,0,350,339a1c19,2026-03-25T13:33:00
c70_tp05_slip5_s637,1.9106,3.83,0.5736,1.9106,0,309,4ac3110c,2026-03-25T13:38:09
