config,fallback,metric,lookback,switch_margin,halflife,current_hourly_ret_pct,prev_hourly_ret_pct,older_hourly_ret_pct,current_daily_ret_pct,prev_daily_ret_pct,older_daily_ret_pct,worst_hourly_ret_pct,mean_hourly_ret_pct,worst_daily_ret_pct,mean_daily_ret_pct,max_hourly_dd_pct,max_daily_dd_pct,positive_hourly_windows,positive_daily_windows
ret_lb14_sm0_reg,reg_combo_2,return,14,0.0,5.0,-10.977537611747502,-6.363075043647914,-13.598550542035209,0.3447018990250217,-2.188543236357182,-21.125371113977526,-13.598550542035209,-10.31305439914354,-21.125371113977526,-7.656404150436562,41.117101694475885,39.996715620279986,0,1
ret_lb10_sm0_reg,reg_combo_2,return,10,0.0,4.0,8.19558121257278,-22.532756187857768,-27.62930554894013,24.507440351595925,-20.721829062952466,-33.78888398102086,-27.62930554894013,-13.988826841408374,-33.78888398102086,-10.001090897459134,40.499002912632434,42.77489926315157,1,1
ret_lb14_sm001_reg,reg_combo_2,return,14,0.01,5.0,-3.748567098745898,-27.715353435819516,20.35657175663917,16.07471244153081,-24.2937221496293,10.902829199334883,-27.715353435819516,-3.7024495926420813,-24.2937221496293,0.8946064970787978,36.33558111920501,24.217940089719022,1,2
ret_lb10_sm001_reg,reg_combo_2,return,10,0.01,4.0,7.277427060035989,-29.709384569018578,13.758600838438106,30.262605882988137,-26.98206272573836,5.039612657340458,-29.709384569018578,-2.891118890181494,-26.98206272573836,2.773385271530078,36.373010011701496,26.908971697435803,2,2
sort_lb7_sm0_reg,reg_combo_2,sortino,7,0.0,3.0,-17.058815491723507,-29.8897471076707,-24.97557517335381,2.603570298163286,-27.717267855337102,-33.91490775142895,-29.8897471076707,-23.97471259091601,-33.91490775142895,-19.676201769534256,44.867904329661094,42.20755268266665,0,1
sort_lb7_sm001_reg,reg_combo_2,sortino,7,0.01,3.0,-24.720273940923363,-29.8897471076707,-24.97557517335381,-6.806298784241917,-27.717267855337102,-33.91490775142895,-29.8897471076707,-26.52853207398262,-33.91490775142895,-22.81282479700266,49.96057647679524,42.20755268266665,0,0
ret_lb14_sm0_ent,ent_anneal,return,14,0.0,5.0,30.662442379070836,-32.362832348382724,-31.622602667692178,50.641539069903295,-7.595408814604325,-43.43320993600065,-32.362832348382724,-11.107664212334688,-43.43320993600065,-0.12902656023389358,39.95612919204835,43.37301082825677,1,1
ret_lb10_sm0_ent,ent_anneal,return,10,0.0,4.0,37.68367631588091,-46.298516901915356,-31.272183429841643,60.94826648193874,-26.981705211828505,-42.969410694967024,-46.298516901915356,-13.295674671958698,-42.969410694967024,-3.000949808285597,49.451880840420344,43.57677992269247,1,1
ret_lb14_sm001_ent,ent_anneal,return,14,0.01,5.0,41.27274137299877,-47.78631655643962,-4.75079781431261,74.25606931279923,-28.47864773309675,-20.463434878562385,-47.78631655643962,-3.754790999251153,-28.47864773309675,8.437995567046697,50.852316543194384,28.407054787884633,1,1
sort_lb7_sm0_ent,ent_anneal,sortino,7,0.0,3.0,5.508199851646168,-49.29960376577031,-33.95701786630823,30.624762601064287,-30.56228086691779,-43.84431282122145,-49.29960376577031,-25.916140593477454,-43.84431282122145,-14.59394369569165,52.27674316545732,43.784551214471584,1,1
sort_lb7_sm001_ent,ent_anneal,sortino,7,0.01,3.0,-4.237823116383624,-49.29960376577031,-33.95701786630823,18.64504385029988,-30.56228086691779,-43.84431282122145,-49.29960376577031,-29.164814916154054,-43.84431282122145,-18.587183279279785,52.27674316545732,43.784551214471584,0,1
ret_lb10_sm001_ent,ent_anneal,return,10,0.01,4.0,36.51528443028628,-51.971922277744056,-12.063084497721938,68.3878533289452,-33.728700732219494,-26.411386320357572,-51.971922277744056,-9.173240781726571,-33.728700732219494,2.749255425456044,54.79214249491117,33.66236309531481,1,1
