description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
c70_tp05_slip5_s401,1.891,3.89,0.5768,1.891,0,308,0133cef2,2026-03-25T10:20:46
c70_tp05_slip5_s402,-0.2423,1.14,0.5034,-0.2423,0,342,35623654,2026-03-25T10:22:02
c70_tp05_slip5_s403,0.4033,2.42,0.5805,0.4033,0,309,85e6a1c2,2026-03-25T10:25:54
c70_tp05_slip5_s402,-0.2423,1.14,0.5034,-0.2423,0,327,00000192,2026-03-25T10:31:21
c70_tp05_slip5_s403,0.4033,2.42,0.5805,0.4033,0,308,00000193,2026-03-25T10:36:29
c70_tp05_slip5_s404,7.372,6.34,0.6612,7.372,0,348,00000194,2026-03-25T10:42:17
c70_tp05_slip5_s405,0.3367,2.37,0.5475,0.3367,0,309,00000195,2026-03-25T10:47:26
c70_tp05_slip5_s406,-0.2348,-0.25,0.4845,-0.2348,0,326,00000196,2026-03-25T10:52:52
c70_tp05_slip5_s407,-0.384,1.0,0.4953,-0.384,0,326,00000197,2026-03-25T10:58:18
