description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
c70_tp05_slip5_s201,-0.2444,0.3,0.4955,-0.2444,0,325,767e981e,2026-03-25T08:57:34
c70_tp05_slip5_s202,1.7769,3.66,0.5701,1.7769,0,352,74b136ae,2026-03-25T09:03:26
c70_tp05_slip5_s203,0.0415,0.7,0.5132,0.0415,0,311,4ff49f0f,2026-03-25T09:08:37
c70_tp05_slip5_s204,0.2268,1.9,0.4894,0.2268,0,308,1e89f744,2026-03-25T09:13:46
c70_tp05_slip5_s205,0.3954,2.52,0.5375,0.3954,0,305,7c85e796,2026-03-25T09:18:51
c70_tp05_slip5_s206,2.0856,3.77,0.5258,2.0856,0,346,5c724130,2026-03-25T09:24:37
c70_tp05_slip5_s207,2.2027,3.82,0.5604,2.2027,0,351,b538820c,2026-03-25T09:30:28
c70_tp05_slip5_s208,3.3782,4.95,0.6253,3.3782,0,360,ab8f8021,2026-03-25T09:36:28
c70_tp05_slip5_s209,4.2061,5.23,0.6656,4.2061,0,361,6430e06a,2026-03-25T09:42:29
c70_tp05_slip5_s210,5.249,5.06,0.616,5.249,0,342,ad4dedce,2026-03-25T09:48:10
c70_tp05_slip5_s211,1.6465,3.05,0.6088,1.6465,0,313,32be992a,2026-03-25T09:53:23
c70_tp05_slip5_s212,1.5021,3.29,0.5689,1.5021,0,340,b6e62663,2026-03-25T09:59:04
c70_tp05_slip5_s213,-0.2804,0.01,0.5844,-0.2804,0,323,807524f1,2026-03-25T10:04:27
c70_tp05_slip5_s214,-0.2797,0.05,0.5086,-0.2797,0,325,46fdf1a0,2026-03-25T10:09:52
c70_tp05_slip5_s215,-0.2217,0.17,0.4782,-0.2217,0,323,5d8ee4e2,2026-03-25T10:15:15
c70_tp05_slip5_s216,0.1454,1.67,0.4844,0.1454,0,326,0b45567d,2026-03-25T10:20:41
c70_tp05_slip5_s217,2.3833,4.62,0.7019,2.3833,0,315,628e75a3,2026-03-25T10:25:56
c70_tp05_slip5_s218,0.3316,2.55,0.5464,0.3316,0,311,2a168d40,2026-03-25T10:31:07
c70_tp05_slip5_s219,-0.0796,0.59,0.5093,-0.0796,0,327,4102f0a9,2026-03-25T10:36:34
c70_tp05_slip5_s220,2.3335,3.79,0.5897,2.3335,0,347,15ed4287,2026-03-25T10:42:21
c70_tp05_slip5_s221,1.6501,3.5,0.5904,1.6501,0,354,be104796,2026-03-25T10:48:15
c70_tp05_slip5_s222,0.0674,1.77,0.5399,0.0674,0,332,b0e0b8f1,2026-03-25T10:53:47
c70_tp05_slip5_s223,0.3408,2.44,0.4966,0.3408,0,311,ae03eb3f,2026-03-25T10:58:58
c70_tp05_slip5_s224,1.3518,3.5,0.5463,1.3518,0,313,cfc14244,2026-03-25T11:04:11
c70_tp05_slip5_s225,0.01,1.03,0.5048,0.01,0,311,ea06f0a4,2026-03-25T11:09:22
c70_tp05_slip5_s226,1.6384,3.45,0.5666,1.6384,0,359,bda1e7ae,2026-03-25T11:15:21
c70_tp05_slip5_s227,-0.493,-0.95,0.5112,-0.493,0,345,50203d31,2026-03-25T11:21:06
c70_tp05_slip5_s228,-0.0845,0.89,0.5398,-0.0845,0,337,c0cd8f00,2026-03-25T11:26:43
c70_tp05_slip5_s229,0.1676,2.35,0.5374,0.1676,0,343,2afe8a7d,2026-03-25T11:32:26
c70_tp05_slip5_s230,-0.1553,0.47,0.5508,-0.1553,0,342,e87cbb5e,2026-03-25T11:38:07
c70_tp05_slip5_s231,0.3699,1.03,0.5115,0.3699,0,308,6dd5a487,2026-03-25T11:43:16
c70_tp05_slip5_s232,1.9929,4.4,0.5698,1.9929,0,390,874e78ba,2026-03-25T11:49:46
c70_tp05_slip5_s233,-0.1705,0.61,0.5149,-0.1705,0,350,f6a72cdc,2026-03-25T11:55:36
c70_tp05_slip5_s234,0.0168,0.78,0.5351,0.0168,0,317,590b5075,2026-03-25T12:00:53
c70_tp05_slip5_s235,0.9921,2.14,0.5711,0.9921,0,313,fa7c6410,2026-03-25T12:06:06
c70_tp05_slip5_s236,-0.0286,2.12,0.5896,-0.0286,0,343,5ec9df31,2026-03-25T12:11:49
c70_tp05_slip5_s237,-0.0493,1.44,0.5398,-0.0493,0,350,d1c1df3e,2026-03-25T12:17:39
c70_tp05_slip5_s238,-0.3985,-0.97,0.4574,-0.3985,0,352,8acbaa4e,2026-03-25T12:23:31
c70_tp05_slip5_s239,0.6309,2.32,0.5604,0.6309,0,315,223d270b,2026-03-25T12:28:46
c70_tp05_slip5_s240,16.9907,7.74,0.6868,16.9907,0,332,a312c0cb,2026-03-25T12:34:18
c70_tp05_slip5_s241,0.2236,2.01,0.4844,0.2236,0,309,c2aedbe0,2026-03-25T12:39:27
c70_tp05_slip5_s242,-0.196,0.65,0.5297,-0.196,0,346,5eb6599c,2026-03-25T12:45:13
c70_tp05_slip5_s243,-0.356,0.14,0.4985,-0.356,0,341,e6a141b5,2026-03-25T12:50:53
c70_tp05_slip5_s244,0.0665,1.49,0.5004,0.0665,0,345,b582512c,2026-03-25T12:56:38
c70_tp05_slip5_s245,0.2161,1.91,0.5869,0.2161,0,321,6b3729d9,2026-03-25T13:02:00
