description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
c15_tp03_s350,0.014,0.98,0.5331,0.014,0,329,7d2b2fa1,2026-03-25T09:00:31
c15_tp03_s351,-0.189,-0.08,0.5445,-0.189,0,339,52cb2f5e,2026-03-25T09:06:10
c15_tp03_s352,-0.2865,-1.13,0.4375,-0.2865,0,330,d8901017,2026-03-25T09:11:40
c15_tp03_s353,-0.4921,-2.28,0.2775,-0.4921,0,318,08df1e93,2026-03-25T09:16:58
c15_tp03_s354,-0.1594,0.48,0.4772,-0.1594,0,318,b46e7489,2026-03-25T09:22:16
c15_tp03_s355,-0.3425,-1.52,0.4732,-0.3425,0,331,da81f271,2026-03-25T09:27:46
c15_tp03_s356,-0.2936,-1.11,0.4551,-0.2936,0,326,f7addf21,2026-03-25T09:33:12
c15_tp03_s357,0.2071,2.07,0.5414,0.2071,0,309,3e232cde,2026-03-25T09:38:21
c15_tp03_s358,0.1809,1.77,0.5326,0.1809,0,334,79dbb4ea,2026-03-25T09:43:55
c15_tp03_s359,-0.1807,0.0,0.4791,-0.1807,0,322,8b9a9f14,2026-03-25T09:49:18
c15_tp03_s360,0.3571,1.98,0.5492,0.3571,0,309,41a6250d,2026-03-25T09:54:27
c15_tp03_s361,-0.3245,-0.81,0.5361,-0.3245,0,329,d6c3177e,2026-03-25T09:59:56
c15_tp03_s362,-0.0734,0.61,0.5094,-0.0734,0,327,441f7c58,2026-03-25T10:05:23
c15_tp03_s363,0.3069,1.71,0.6393,0.3069,0,308,71b48963,2026-03-25T10:10:31
