description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
sortino_notp_sdp005_s19,-0.0933,-0.57,0.5741,-0.0933,0,359,1217101e,2026-03-31T03:59:42
sortino_sdp001_s19,0.0,0.0,0.0,0.0,0,352,2c7d5422,2026-03-31T04:05:33
sortino_notp_sdp01_s19,0.1526,0.85,1.0,0.1526,0,362,11b4260e,2026-03-31T04:11:35
sortino_notp_sdp005_s20,-0.2109,-1.23,0.5,-0.2109,0,354,4d33aefd,2026-03-31T04:17:29
sortino_sdp001_s20,0.0445,0.35,0.537,0.0445,0,352,7d1d2acd,2026-03-31T04:23:21
sortino_notp_sdp01_s20,-0.1135,-0.53,0.4655,-0.1135,0,351,a73bbdaa,2026-03-31T04:29:13
sortino_notp_sdp005_s21,-0.0741,-0.33,0.5172,-0.0741,0,356,dea45155,2026-03-31T04:35:09
sortino_sdp001_s21,0.0421,0.0,1.0,0.0421,0,344,ce7cada5,2026-03-31T04:40:53
sortino_notp_sdp01_s21,-0.3297,-1.97,0.4727,-0.3297,0,361,6b6b129f,2026-03-31T04:46:53
sortino_notp_sdp005_s22,-0.0636,-0.04,0.5345,-0.0636,0,338,80b5d5a0,2026-03-31T04:52:31
sortino_sdp001_s22,0.0591,0.67,0.6071,0.0591,0,363,37345ddd,2026-03-31T04:58:34
sortino_notp_sdp01_s22,0.0265,0.19,0.5,0.0265,0,355,c07a2941,2026-03-31T05:04:30
sortino_notp_sdp005_s23,-0.1928,-1.22,0.4643,-0.1928,0,348,bb78ac3f,2026-03-31T05:10:18
sortino_sdp001_s23,0.0443,0.3,1.0,0.0443,0,356,a8030d1e,2026-03-31T05:16:14
sortino_notp_sdp01_s23,-0.2654,-1.63,0.4821,-0.2654,0,352,dac35360,2026-03-31T05:22:06
sortino_notp_sdp005_s24,-0.0135,0.01,0.5714,-0.0135,0,357,11adaeb4,2026-03-31T05:28:03
sortino_sdp001_s24,0.149,0.8,0.6167,0.149,0,340,1ec8a57a,2026-03-31T05:33:43
sortino_notp_sdp01_s24,-0.1713,-0.9,0.4655,-0.1713,0,230,ff35990b,2026-03-31T05:37:33
sortino_notp_sdp005_s25,-0.1691,-1.07,0.0,-0.1691,0,339,e5015a25,2026-03-31T05:43:11
sortino_sdp001_s25,-0.2658,-1.58,0.4737,-0.2658,0,303,de1c070a,2026-03-31T05:48:15
sortino_notp_sdp01_s25,-0.2463,-1.34,0.3333,-0.2463,0,374,21a11aa9,2026-03-31T05:54:29
sortino_notp_sdp005_s26,-0.1256,-0.6,0.4845,-0.1256,0,345,89f21859,2026-03-31T06:00:14
sortino_sdp001_s26,-0.0118,-0.04,0.5,-0.0118,0,293,c593f4a1,2026-03-31T06:05:07
sortino_notp_sdp01_s26,0.1526,0.85,1.0,0.1526,0,356,e0ecedad,2026-03-31T06:11:03
sortino_notp_sdp005_s27,-0.2639,-1.69,0.3793,-0.2639,0,352,3c205e0d,2026-03-31T06:16:55
sortino_sdp001_s27,-0.2088,-1.15,0.5263,-0.2088,0,365,a0e5eaa9,2026-03-31T06:23:01
sortino_notp_sdp01_s27,-0.1716,-0.9,0.4655,-0.1716,0,240,160335ca,2026-03-31T06:27:01
sortino_notp_sdp005_s28,0.0732,0.45,0.2,0.0732,0,356,09738c0d,2026-03-31T06:32:56
sortino_sdp001_s28,0.0,0.0,0.0,0.0,0,348,cdeb8449,2026-03-31T06:38:44
sortino_notp_sdp01_s28,-0.1405,-1.25,0.0,-0.1405,0,365,e5edbd1a,2026-03-31T06:44:49
sortino_notp_sdp005_s29,-0.0089,0.04,0.5789,-0.0089,0,374,bc20048b,2026-03-31T06:51:03
sortino_sdp001_s29,-0.1691,-1.07,0.0,-0.1691,0,344,aa86ae7b,2026-03-31T06:56:47
sortino_notp_sdp01_s29,-0.0959,-0.5,0.5273,-0.0959,0,358,81afe098,2026-03-31T07:02:45
sortino_notp_sdp005_s30,0.0443,0.3,1.0,0.0443,0,363,2c1815e0,2026-03-31T07:08:48
sortino_sdp001_s30,-0.0896,-0.53,0.5172,-0.0896,0,353,c9ce39b4,2026-03-31T07:14:40
sortino_notp_sdp01_s30,-0.2337,-1.65,0.4655,-0.2337,0,366,e9940367,2026-03-31T07:20:46
