description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
c15_tp03_s500,0.2998,2.38,0.5236,0.2998,0,309,8673281f,2026-03-25T09:19:05
c15_tp03_s501,0.2796,1.62,0.5239,0.2796,0,307,3193c661,2026-03-25T09:24:12
c15_tp03_s502,-0.1581,0.23,0.5216,-0.1581,0,323,8368b190,2026-03-25T09:29:35
c15_tp03_s503,-0.2708,-0.38,0.5063,-0.2708,0,327,e597b364,2026-03-25T09:35:02
c15_tp03_s504,-0.1035,0.2,0.3932,-0.1035,0,334,ca9695bf,2026-03-25T09:40:36
c15_tp03_s505,0.0551,1.13,0.5369,0.0551,0,335,4ab4a474,2026-03-25T09:46:11
c15_tp03_s506,-0.137,0.5,0.4925,-0.137,0,329,aefbf84f,2026-03-25T09:51:40
c15_tp03_s507,-0.2043,-0.46,0.4646,-0.2043,0,325,1a460453,2026-03-25T09:57:05
c15_tp03_s508,-0.0318,0.06,0.505,-0.0318,0,310,bfb5953f,2026-03-25T10:02:15
c15_tp03_s509,0.0069,0.8,0.5974,0.0069,0,318,89a69d89,2026-03-25T10:07:34
