trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,stock_baseline,a40,holdout_robust_score,-144.05783794450656,-0.0112,0.13,0.3333,0.0,12.0958,8.7,0.62,6914048,90.3667938709259,,,,,-144.05783794450656,-11.893661259117236,-24.42486948902501,-29.72288805252985,-5.196622488781511,30.133008310618948,0.7,-12.398694315521496,-25.832112057579614,-2.754135488855611,28.59681372666822,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,stock_trade_pen_01,a40,holdout_robust_score,-138.68679133060493,-0.1536,-0.57,0.3889,0.0,18.6559,9.96,0.65,7897088,90.32329821586609,,,,,-138.68679133060493,-9.638906380456733,-16.606794543475026,-25.066558748970408,-4.894929168148149,27.896106031263646,0.9,-10.149647618793415,-22.239942433974168,-2.068084240818454,22.687032412654343,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
2,stock_trade_pen_02,a40,holdout_robust_score,-43.76461909807526,0.2117,1.1,0.3,100.0,26.8276,11.63,0.67,7929856,90.46134424209595,,,,,-43.76461909807526,1.8291614989922436,-0.47039704364468893,-6.839684044657315,0.12793597853905123,15.561200549999752,0.35,1.7893132773919116,-1.750071937262015,0.6598911666897063,15.561200549999748,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.02,0.0,0.0,0.0,0.02,0.0,0.99
