entry_offset_bps,exit_offset_bps,allocation_scale,confidence_threshold,fee_bps,train_sortino,train_return,train_max_dd,train_p10,val_sortino,val_return,val_max_dd,val_p10,num_train_windows,num_val_windows
-20,-25,1.25,0.0,0.0,0.9545,0.0378,-0.0463,-0.0886,0.3227,0.0091,-0.0365,-0.0560,551,237
-15,20,2.0,0.0,0.0,1.5295,0.1087,-0.0672,-0.0753,1.3632,0.0555,-0.0575,-0.0561,551,237
-15,-20,1.25,0.0,0.0,0.9770,0.0391,-0.0463,-0.0887,0.3167,0.0090,-0.0365,-0.0561,551,237
-10,-15,1.25,0.0,0.0,1.0813,0.0426,-0.0463,-0.0889,0.4274,0.0127,-0.0365,-0.0563,551,237
10,5,2.0,0.0,0.0,1.1575,0.0709,-0.0739,-0.1208,0.7807,0.0347,-0.0586,-0.0563,551,237
-20,-10,1.5,0.0,0.0,1.1904,0.0591,-0.0534,-0.0879,0.6971,0.0240,-0.0433,-0.0566,551,237
-15,-5,1.5,0.0,0.0,1.2443,0.0593,-0.0534,-0.0879,0.6887,0.0238,-0.0433,-0.0568,551,237
15,10,2.0,0.0,0.0,1.1634,0.0701,-0.0741,-0.1224,0.7446,0.0329,-0.0588,-0.0568,551,237
-25,10,1.5,0.0,0.0,1.3181,0.0613,-0.0502,-0.0586,1.1665,0.0354,-0.0428,-0.0569,551,237
-10,0,1.5,0.0,0.0,1.2854,0.0653,-0.0534,-0.0893,0.9565,0.0273,-0.0433,-0.0569,551,237
20,-25,1.25,0.0,0.0,0.4668,0.0155,-0.0572,-0.1157,-0.3691,-0.0135,-0.0463,-0.0572,551,237
25,-20,1.25,0.0,0.0,0.4615,0.0154,-0.0571,-0.1159,-0.3721,-0.0136,-0.0463,-0.0573,551,237
-25,-10,1.25,0.0,0.0,1.0981,0.0392,-0.0440,-0.0691,0.6737,0.0164,-0.0359,-0.0575,551,237
-10,25,2.0,0.0,0.0,1.6403,0.1141,-0.0675,-0.0793,1.6169,0.0645,-0.0577,-0.0577,551,237
20,15,2.0,0.0,0.0,1.1340,0.0680,-0.0743,-0.1232,0.7119,0.0309,-0.0590,-0.0580,551,237
5,-25,1.5,0.0,0.0,0.7556,0.0322,-0.0621,-0.1183,0.0588,-0.0008,-0.0493,-0.0581,551,237
10,-20,1.5,0.0,0.0,0.7514,0.0320,-0.0621,-0.1184,0.0557,-0.0009,-0.0492,-0.0583,551,237
15,-15,1.5,0.0,0.0,0.7470,0.0318,-0.0621,-0.1186,0.0505,-0.0011,-0.0492,-0.0584,551,237
20,-10,1.5,0.0,0.0,0.7432,0.0316,-0.0621,-0.1188,0.0444,-0.0013,-0.0492,-0.0586,551,237
25,-5,1.5,0.0,0.0,0.7406,0.0314,-0.0620,-0.1189,0.0383,-0.0015,-0.0492,-0.0588,551,237
-20,10,2.0,0.0,0.0,1.4363,0.1019,-0.0677,-0.0849,1.2839,0.0521,-0.0572,-0.0588,551,237
-15,15,2.0,0.0,0.0,1.4944,0.1046,-0.0679,-0.0841,1.2616,0.0505,-0.0575,-0.0593,551,237
-15,-25,1.25,0.0,0.0,0.8902,0.0355,-0.0476,-0.0930,0.2237,0.0053,-0.0367,-0.0595,551,237
25,20,2.0,0.0,0.0,1.1034,0.0650,-0.0745,-0.1243,0.6558,0.0283,-0.0592,-0.0596,551,237
-10,-20,1.25,0.0,0.0,0.9913,0.0387,-0.0476,-0.0931,0.2679,0.0082,-0.0367,-0.0596,551,237
-25,5,1.5,0.0,0.0,1.2521,0.0586,-0.0508,-0.0633,1.0353,0.0317,-0.0428,-0.0600,551,237
-20,-15,1.5,0.0,0.0,1.1182,0.0547,-0.0541,-0.0945,0.5558,0.0200,-0.0435,-0.0601,551,237
-25,-15,1.25,0.0,0.0,1.0257,0.0362,-0.0446,-0.0748,0.5460,0.0134,-0.0361,-0.0602,551,237
-15,-10,1.5,0.0,0.0,1.1541,0.0551,-0.0541,-0.0945,0.5554,0.0198,-0.0435,-0.0603,551,237
-5,-15,2.0,0.0,0.0,1.0458,0.0624,-0.0756,-0.1335,0.6166,0.0268,-0.0586,-0.0604,551,237
-10,-5,1.5,0.0,0.0,1.2618,0.0599,-0.0541,-0.0959,0.7893,0.0230,-0.0434,-0.0605,551,237
0,-10,2.0,0.0,0.0,1.0829,0.0663,-0.0746,-0.1291,0.6463,0.0273,-0.0586,-0.0606,551,237
25,-25,1.25,0.0,0.0,0.3809,0.0119,-0.0589,-0.1212,-0.4987,-0.0182,-0.0466,-0.0608,551,237
5,-5,2.0,0.0,0.0,1.0811,0.0660,-0.0746,-0.1293,0.6398,0.0271,-0.0586,-0.0608,551,237
-10,20,2.0,0.0,0.0,1.5951,0.1096,-0.0682,-0.0863,1.4912,0.0600,-0.0577,-0.0609,551,237
10,0,2.0,0.0,0.0,1.0792,0.0657,-0.0746,-0.1295,0.6259,0.0268,-0.0586,-0.0611,551,237
15,5,2.0,0.0,0.0,1.0774,0.0652,-0.0748,-0.1300,0.6193,0.0263,-0.0588,-0.0614,551,237
10,-25,1.5,0.0,0.0,0.6530,0.0285,-0.0642,-0.1245,-0.0870,-0.0057,-0.0523,-0.0617,551,237
15,-20,1.5,0.0,0.0,0.6504,0.0283,-0.0642,-0.1247,-0.0926,-0.0058,-0.0523,-0.0618,551,237
20,-15,1.5,0.0,0.0,0.6478,0.0282,-0.0642,-0.1248,-0.0981,-0.0060,-0.0522,-0.0620,551,237
20,10,2.0,0.0,0.0,1.0670,0.0640,-0.0750,-0.1317,0.5830,0.0258,-0.0590,-0.0620,551,237
25,-10,1.5,0.0,0.0,0.6456,0.0280,-0.0641,-0.1250,-0.1037,-0.0062,-0.0522,-0.0622,551,237
-10,-25,1.25,0.0,0.0,0.9235,0.0347,-0.0491,-0.0984,0.1927,0.0046,-0.0368,-0.0628,551,237
-25,-20,1.25,0.0,0.0,0.9330,0.0341,-0.0452,-0.0804,0.4281,0.0102,-0.0362,-0.0629,551,237
-25,0,1.5,0.0,0.0,1.1576,0.0554,-0.0513,-0.0691,0.8957,0.0276,-0.0428,-0.0630,551,237
-20,5,2.0,0.0,0.0,1.3688,0.0963,-0.0684,-0.0908,1.1626,0.0466,-0.0572,-0.0632,551,237
25,15,2.0,0.0,0.0,1.0543,0.0618,-0.0752,-0.1327,0.5596,0.0240,-0.0592,-0.0632,551,237
-20,-20,1.5,0.0,0.0,1.0402,0.0502,-0.0548,-0.1011,0.4438,0.0156,-0.0437,-0.0636,551,237
-15,10,2.0,0.0,0.0,1.4211,0.0987,-0.0686,-0.0919,1.1296,0.0460,-0.0575,-0.0637,551,237
-15,-15,1.5,0.0,0.0,1.0589,0.0510,-0.0548,-0.1011,0.4412,0.0154,-0.0436,-0.0638,551,237
-10,-10,1.5,0.0,0.0,1.1704,0.0552,-0.0548,-0.1018,0.5968,0.0188,-0.0436,-0.0640,551,237
-10,15,2.0,0.0,0.0,1.5418,0.1047,-0.0689,-0.0938,1.3490,0.0555,-0.0577,-0.0648,551,237
15,-25,1.5,0.0,0.0,0.5665,0.0232,-0.0663,-0.1310,-0.2676,-0.0110,-0.0551,-0.0653,551,237
-5,-20,2.0,0.0,0.0,0.9633,0.0557,-0.0780,-0.1419,0.4924,0.0191,-0.0589,-0.0653,551,237
