description,dataset,seed,val_return,val_sortino,val_wr,holdout_median_return_pct,holdout_p10_return_pct,holdout_negative_rate,holdout_worst_return_pct,elapsed_s,checkpoint_dir,timestamp
crypto70_daily_tp05_s111,crypto70_daily,111,-0.3422,-0.33,0.4664,,,,,1331.4,pufferlib_market/checkpoints/crypto70_long_sweep/crypto70_daily_tp05_s111,2026-03-24T20:26:10
crypto70_daily_tp05_s112,crypto70_daily,112,6.3036,7.10,0.6218,,,,,1303.4,pufferlib_market/checkpoints/crypto70_long_sweep/crypto70_daily_tp05_s112,2026-03-24T20:47:53
crypto70_daily_tp05_s113,crypto70_daily,113,-0.5601,-3.54,0.0000,,,,,1276.6,pufferlib_market/checkpoints/crypto70_long_sweep/crypto70_daily_tp05_s113,2026-03-24T21:09:10
crypto70_daily_tp05_s114,crypto70_daily,114,0.1234,1.69,0.5580,,,,,1292.8,pufferlib_market/checkpoints/crypto70_long_sweep/crypto70_daily_tp05_s114,2026-03-24T21:30:42
