description,trade_penalty,weight_decay,seed,train_return,train_sortino,train_wr,train_steps,elapsed_s,60d_ret_pct,60d_sortino,60d_dd_pct,90d_ret_pct,90d_sortino,90d_dd_pct,120d_ret_pct,120d_sortino,120d_dd_pct,180d_ret_pct,180d_sortino,180d_dd_pct,error
tp0.00_wd0.05_s42,0.0,0.05,42,2684.6833,7.46,0.59,7077888,301.2049469947815,-34.98894139801397,-4.5756527702896985,39.18216962987639,-57.89674076230504,-5.283869774088393,59.01103975674437,-45.793793138953845,-3.103574975983256,57.06678021397883,-59.039427828377235,-3.4712787057474137,60.12348462609028,
tp0.00_wd0.05_s314,0.0,0.05,314,3237.2888,7.77,0.6,7110656,300.645813703537,-21.15854639947789,-2.9428932779165686,23.44655376315536,-42.14522829709255,-2.7802829832117952,46.333801740550314,-60.435577613576754,-3.54605928537766,66.0477880832366,-81.41363316434428,-4.745747010587841,81.90942036326777,
tp0.05_wd0.05_s42,0.05,0.05,42,5349.6587,8.87,0.6,7241728,300.91295528411865,6.748699767558337,1.4866553541494825,20.505066178732065,-40.71366024851848,-2.213746948191376,53.55462551345058,-39.08194038703308,-1.6826766367943236,58.4805504943744,-46.23693482725097,-1.6623802907561451,60.72170217377531,
tp0.05_wd0.05_s314,0.05,0.05,314,2940.2905,8.21,0.62,7241728,301.10359597206116,5.433511764707219,1.1440317378943954,16.73890460543605,7.505632300440119,1.0952830075042796,19.762594312255423,19.262888855521922,1.6519547206814869,22.747782318832297,-30.27651001447298,-1.0817983662919786,40.2237695866762,
tp0.10_wd0.05_s42,0.1,0.05,42,5758.1348,11.54,0.72,7241728,301.51745653152466,14.422903500295762,2.3935784658853145,18.95896353500748,9.630228319441684,1.2899051253035727,25.94819384247085,6.658314276846286,0.9188565262896881,35.133853089321384,0.10702085703938793,0.43330448483073075,27.244709577375225,
tp0.10_wd0.05_s314,0.1,0.05,314,1178.0883,4.09,0.73,7536640,300.469535112381,-15.068225239161364,-1.7139686760830488,29.23653705833639,-19.489326369399297,-1.120154065041206,27.010632970450864,-15.91954620864919,-0.630382499640218,33.35148054917943,-49.890149371960355,-2.6625270709392286,50.59557523093918,
tp0.15_wd0.05_s42,0.15,0.05,42,4431.2031,14.4,0.75,7340032,300.6361610889435,-15.580329381169921,-1.9392983021607617,27.37408062421036,-53.11662324659764,-4.968872099961836,53.59436062325871,-48.70595997225306,-3.26808774689273,54.186760192641735,-60.13088359193094,-3.4042773498589955,61.11131107603971,
tp0.15_wd0.05_s314,0.15,0.05,314,4296.937,15.74,0.76,7602176,300.35212659835815,-3.3558723756538162,-0.09121148589386285,30.597120607566204,-32.25802247335784,-2.3421815866898728,46.12643264184637,-36.01407103114481,-1.9150417119324115,54.326698665097425,-40.6456933564003,-1.646250870220152,54.68379305856112,
tp0.00_wd0.01_s42,0.0,0.01,42,3009.2625,7.4,0.59,7077888,300.51248145103455,-13.60512581266983,-1.3674016391518933,25.375291584715537,-27.58139549384121,-1.9083517926354168,31.704594613051906,-28.290834986464013,-1.330519302591906,44.39294082343212,-53.16604736858874,-2.5022506052916214,56.26654647102218,
tp0.00_wd0.10_s42,0.0,0.1,42,2092.5635,7.93,0.6,7405568,300.8120894432068,-27.519408831206466,-3.7418090223403517,38.55772022101817,-42.939217827059615,-3.7267138841782,50.063598284055836,-36.352727040273074,-2.289571762753999,55.408805057553245,-53.647626802257086,-2.972442588981632,59.62752294451249,
tp0.05_wd0.01_s42,0.05,0.01,42,3262.05,7.96,0.62,7798784,300.7623510360718,17.22863375935982,2.676629712564393,14.578507542094163,-11.078432469020026,-0.33614048198328317,32.44591508317516,16.97776799101879,1.4811607277743648,33.23405503212403,-36.92988735212096,-1.393754407333023,55.06349584235647,
tp0.05_wd0.10_s42,0.05,0.1,42,2957.7327,8.25,0.6,7569408,301.3592267036438,-1.8787994179804444,0.12363704932419393,19.766403905027126,-27.69489843377002,-1.8900545548417538,37.211075652893875,-8.3235276978625,-0.019019841900289304,42.50929008564703,-43.31400239946771,-1.7817145814878241,52.309999845335994,
