timestamp,portfolio_value,cash,inventory,buy_filled,sell_filled,forced_close,market_open
2025-11-19 20:00:00+00:00,10002.023205475523,9649.75609779358,1.8868082896729734,1.0,0.0,0.0,1.0
2025-11-19 21:00:00+00:00,10041.811243690028,10041.811243690028,0.0,1.0,1.0,1.0,1.0
2025-11-20 13:00:00+00:00,10041.811243690028,10041.811243690028,0.0,0.0,0.0,0.0,0.0
2025-11-20 14:00:00+00:00,10041.811243690028,10041.811243690028,0.0,0.0,0.0,0.0,0.0
2025-11-20 15:00:00+00:00,10041.811243690028,10041.811243690028,0.0,0.0,0.0,0.0,1.0
2025-11-20 16:00:00+00:00,10041.7702752807,9959.827515365265,0.44224059536636845,1.0,0.0,0.0,1.0
2025-11-20 17:00:00+00:00,10041.391259929673,9686.880902111012,1.9295180853353298,1.0,1.0,0.0,1.0
2025-11-20 18:00:00+00:00,10039.609498982503,9691.904270487632,1.9088950233042574,1.0,1.0,0.0,1.0
2025-11-20 19:00:00+00:00,10045.6759910843,8691.666319979602,7.3747803437075,1.0,0.0,0.0,1.0
2025-11-20 20:00:00+00:00,10026.975647586283,9808.312557475394,1.2086175663878471,1.0,1.0,0.0,1.0
2025-11-20 21:00:00+00:00,10026.419351135914,10026.419351135914,0.0,0.0,0.0,1.0,1.0
2025-11-21 13:00:00+00:00,10026.419351135914,10026.419351135914,0.0,0.0,0.0,0.0,0.0
2025-11-21 14:00:00+00:00,10026.419351135914,10026.419351135914,0.0,0.0,0.0,0.0,0.0
2025-11-21 15:00:00+00:00,10026.263602512085,9714.781548103701,1.7771555566176942,1.0,0.0,0.0,1.0
2025-11-21 16:00:00+00:00,10067.045052155483,8828.334456249997,6.839170692941067,1.0,1.0,0.0,1.0
2025-11-21 17:00:00+00:00,10066.371614115387,10052.27760915901,0.07796650415654316,0.0,1.0,0.0,1.0
2025-11-21 18:00:00+00:00,10069.572603369652,9560.906474012048,2.781268135806239,1.0,1.0,0.0,1.0
2025-11-21 19:00:00+00:00,10066.782544990527,10060.191853550949,0.03637046211345396,0.0,1.0,0.0,1.0
2025-11-21 20:00:00+00:00,10066.66107895149,9939.17006697583,0.7125189290541603,1.0,1.0,0.0,1.0
2025-11-21 21:00:00+00:00,10067.52314491597,10067.52314491597,0.0,0.0,0.0,1.0,1.0
2025-11-24 13:00:00+00:00,10067.52314491597,10067.52314491597,0.0,0.0,0.0,0.0,0.0
2025-11-24 14:00:00+00:00,10067.52314491597,10067.52314491597,0.0,0.0,0.0,0.0,0.0
