timestamp,symbol,buy_price,sell_price,buy_amount,sell_amount,trade_amount
2025-11-19 20:00:00+00:00,NVDA,185.53494262695312,186.6999969482422,3.502439022064209,99.06875610351562,99.06875610351562
2025-11-19 21:00:00+00:00,NVDA,189.67510986328125,194.63999938964844,10.29715633392334,99.0567626953125,99.0567626953125
2025-11-20 13:00:00+00:00,NVDA,191.42324829101562,196.0208282470703,7.157541751861572,98.85244750976562,98.85244750976562
2025-11-20 14:00:00+00:00,NVDA,195.2899932861328,195.67190551757812,8.635457992553711,98.67916107177734,98.67916107177734
2025-11-20 15:00:00+00:00,NVDA,191.31988525390625,192.75160217285156,2.93586802482605,98.17613983154297,98.17613983154297
2025-11-20 16:00:00+00:00,NVDA,185.2899932861328,185.74002075195312,0.8164237141609192,96.84088134765625,96.84088134765625
2025-11-20 17:00:00+00:00,NVDA,183.72999572753906,184.9434051513672,3.547559976577759,98.33104705810547,98.33104705810547
2025-11-20 18:00:00+00:00,NVDA,181.9824676513672,182.8341064453125,3.523798942565918,98.23152160644531,98.23152160644531
2025-11-20 19:00:00+00:00,NVDA,182.90505981445312,184.37913513183594,10.320344924926758,98.76573944091797,98.76573944091797
2025-11-20 20:00:00+00:00,NVDA,180.9199981689453,181.17108154296875,2.2129781246185303,98.020263671875,98.020263671875
2025-11-20 21:00:00+00:00,NVDA,180.47625732421875,181.8418731689453,3.113647222518921,99.00318145751953,99.00318145751953
2025-11-21 13:00:00+00:00,NVDA,180.04966735839844,181.6999969482422,5.9694366455078125,98.9865951538086,98.9865951538086
2025-11-21 14:00:00+00:00,NVDA,178.57000732421875,178.9974365234375,2.5768046379089355,97.98897552490234,97.98897552490234
2025-11-21 15:00:00+00:00,NVDA,175.27000427246094,175.92098999023438,3.108166456222534,98.01876831054688,98.01876831054688
2025-11-21 16:00:00+00:00,NVDA,176.55438232421875,181.1199951171875,12.40438461303711,99.03465270996094,99.03465270996094
2025-11-21 17:00:00+00:00,NVDA,178.1787567138672,181.114990234375,3.412464141845703,98.86000061035156,98.86000061035156
2025-11-21 18:00:00+00:00,NVDA,181.70481872558594,182.88999938964844,5.028501510620117,98.98704528808594,98.98704528808594
2025-11-21 19:00:00+00:00,NVDA,179.26779174804688,181.98680114746094,1.4194567203521729,98.69230651855469,98.69230651855469
2025-11-21 20:00:00+00:00,NVDA,178.92999267578125,179.72177124023438,1.26695716381073,98.51895904541016,98.51895904541016
2025-11-21 21:00:00+00:00,NVDA,179.3611602783203,180.86932373046875,4.357456684112549,99.05770111083984,99.05770111083984
2025-11-24 13:00:00+00:00,NVDA,179.5399932861328,179.82286071777344,4.139121055603027,98.92003631591797,98.92003631591797
2025-11-24 14:00:00+00:00,NVDA,178.05999755859375,178.3732147216797,2.766029119491577,98.61878967285156,98.61878967285156
2025-11-24 15:00:00+00:00,NVDA,177.53952026367188,179.42425537109375,4.505912780761719,98.86595916748047,98.86595916748047
2025-11-24 16:00:00+00:00,NVDA,179.8370361328125,182.16000366210938,5.502185821533203,99.0890121459961,99.0890121459961
2025-11-24 17:00:00+00:00,NVDA,180.80880737304688,183.465087890625,3.0689592361450195,98.9395523071289,98.9395523071289
2025-11-24 18:00:00+00:00,NVDA,181.97950744628906,182.77845764160156,2.4989049434661865,98.95919036865234,98.95919036865234
2025-11-24 19:00:00+00:00,NVDA,181.25369262695312,181.90298461914062,2.483306884765625,98.91163635253906,98.91163635253906
2025-11-24 20:00:00+00:00,NVDA,181.52407836914062,182.84889221191406,4.547939777374268,98.96770477294922,98.96770477294922
2025-11-24 21:00:00+00:00,NVDA,182.0140838623047,183.20748901367188,2.135071039199829,99.07494354248047,99.07494354248047
2025-11-25 13:00:00+00:00,NVDA,173.9600067138672,175.1477508544922,0.3802754580974579,98.7067642211914,98.7067642211914
2025-11-25 14:00:00+00:00,NVDA,172.33999633789062,173.24807739257812,3.359363555908203,98.8056411743164,98.8056411743164
2025-11-25 15:00:00+00:00,NVDA,171.88832092285156,173.53944396972656,5.406176567077637,98.97628021240234,98.97628021240234
2025-11-25 16:00:00+00:00,NVDA,172.27853393554688,174.72500610351562,7.649965763092041,98.9695053100586,98.9695053100586
2025-11-25 17:00:00+00:00,NVDA,173.9142303466797,175.25999450683594,4.2994866371154785,98.9286880493164,98.9286880493164
2025-11-25 18:00:00+00:00,NVDA,175.25230407714844,176.23410034179688,4.3507609367370605,98.935546875,98.935546875
2025-11-25 19:00:00+00:00,NVDA,175.1699981689453,175.44358825683594,2.6613025665283203,98.6430892944336,98.6430892944336
2025-11-25 20:00:00+00:00,NVDA,174.78201293945312,177.8000030517578,9.688958168029785,98.94154357910156,98.94154357910156
2025-11-25 21:00:00+00:00,NVDA,177.0111541748047,177.78094482421875,2.985276460647583,99.02791595458984,99.02791595458984
2025-11-26 13:00:00+00:00,NVDA,179.1649169921875,181.72999572753906,20.823827743530273,99.00824737548828,99.00824737548828
2025-11-26 14:00:00+00:00,NVDA,178.45803833007812,179.01966857910156,2.394542932510376,97.66705322265625,97.66705322265625
2025-11-26 15:00:00+00:00,NVDA,179.82958984375,181.39077758789062,14.164337158203125,98.86073303222656,98.86073303222656
2025-11-26 16:00:00+00:00,NVDA,179.18499755859375,180.86500549316406,4.706689357757568,98.88037872314453,98.88037872314453
2025-11-26 17:00:00+00:00,NVDA,181.0050048828125,181.48780822753906,5.459249019622803,98.9828872680664,98.9828872680664
2025-11-26 18:00:00+00:00,NVDA,180.48500061035156,180.93675231933594,3.4577269554138184,98.95724487304688,98.95724487304688
2025-11-26 19:00:00+00:00,NVDA,180.11427307128906,180.72509765625,3.362988233566284,99.0427474975586,99.0427474975586
2025-11-26 20:00:00+00:00,NVDA,180.17999267578125,180.5204620361328,4.071283340454102,99.04581451416016,99.04581451416016
2025-11-28 13:00:00+00:00,NVDA,180.08995056152344,180.52313232421875,5.714438438415527,99.04827117919922,99.04827117919922
2025-11-28 14:00:00+00:00,NVDA,177.98500061035156,178.265625,2.732816219329834,98.67546844482422,98.67546844482422
2025-11-28 15:00:00+00:00,NVDA,177.1570281982422,178.58387756347656,8.578374862670898,98.87059783935547,98.87059783935547
2025-11-28 16:00:00+00:00,NVDA,176.9499969482422,177.3423614501953,3.8767144680023193,98.7919692993164,98.7919692993164
2025-11-28 17:00:00+00:00,NVDA,176.9499969482422,177.33981323242188,5.661505699157715,98.95069122314453,98.95069122314453
2025-11-28 18:00:00+00:00,NVDA,176.50999450683594,176.86610412597656,3.5884804725646973,99.07633972167969,99.07633972167969
2025-12-01 13:00:00+00:00,NVDA,175.07000732421875,175.75152587890625,8.653916358947754,98.88446807861328,98.88446807861328
2025-12-01 14:00:00+00:00,NVDA,174.9370880126953,178.13499450683594,10.173250198364258,99.08860778808594,99.08860778808594
2025-12-01 15:00:00+00:00,NVDA,176.50152587890625,179.4149932861328,6.019507884979248,99.0644302368164,99.0644302368164
2025-12-01 16:00:00+00:00,NVDA,178.9168243408203,180.07757568359375,3.628758668899536,99.15093994140625,99.15093994140625
2025-12-01 17:00:00+00:00,NVDA,178.90016174316406,179.5281219482422,2.4455270767211914,99.168701171875,99.168701171875
