trainer,seed,status,reason,steps,wall_sec,steps_per_sec,gpu_peak_mb,p10_0bps,median_0bps,maxdd_0bps,sortino_0bps,p10_5bps,median_5bps,maxdd_5bps,sortino_5bps,p10_10bps,median_10bps,maxdd_10bps,sortino_10bps,p10_20bps,median_20bps,maxdd_20bps,sortino_20bps
pufferlib_bf16,0,ok,,200000,74.87124499492347,2671.2524950474735,0.0,-0.1386436784013347,-0.05102584758524059,0.10262759491452987,-0.33427348856781736,-0.172719905213711,-0.06374337414557574,0.12933716693618963,-0.610751064610739,-0.18185570866306372,-0.056278043533649735,0.10768280248856307,-0.5642964387913694,-0.21605027535197227,-0.11494652369880037,0.14677466057754368,-1.1208424448483871
pufferlib_bf16,1,ok,,200000,29.781627664109692,6715.549675648626,0.0,-0.15153000271846187,-0.0295330965875365,0.10852949672232046,-0.2264562695250294,-0.14736379434680302,-0.06330132086162021,0.11224046183880709,-0.554342329369024,-0.22172314987317449,-0.05529073591882727,0.1414616750954596,-0.35297627234028583,-0.2185954836146787,-0.1012256664733937,0.13867081427460604,-1.0212044074153925
fp4,0,skip,fp4 lib not built yet: ImportError: cannot import name 'linear' from 'fp4' (unknown location),200000,,,,,,,,,,,,,,,,,,,
fp4,1,skip,fp4 lib not built yet: ImportError: cannot import name 'linear' from 'fp4' (unknown location),200000,,,,,,,,,,,,,,,,,,,
hf_trainer,0,ok,,200000,31.964560898952186,6256.929373509902,33.01318359375,-0.09307321711068683,0.015551357259319332,0.16595322755543243,0.1837743421428336,-0.11228335162798649,-0.005804417559933606,0.17195594137936274,0.034284379472689405,-0.13109587554062638,-0.02672140054642841,0.1784253031544244,-0.10404902237113756,-0.16756008204844394,-0.06720495816305289,0.19271559062903426,-0.35588968820109346
hf_trainer,1,ok,,200000,27.43520605005324,7289.903332058696,33.01318359375,-0.2945523741988864,-0.06761392795356153,0.17320569201647118,-0.29896769054553884,-0.3077170370596838,-0.0843900360171494,0.17864431348061277,-0.3773409929369848,-0.3206424652872793,-0.10099757819586813,0.18323057005441065,-0.45949265234741915,-0.3457924668241321,-0.13333817243161972,0.19837771726466497,-0.6287988954114856
