trainer,seed,status,reason,steps,wall_sec,steps_per_sec,gpu_peak_mb,p10_0bps,median_0bps,maxdd_0bps,sortino_0bps,p10_5bps,median_5bps,maxdd_5bps,sortino_5bps,p10_10bps,median_10bps,maxdd_10bps,sortino_10bps,p10_20bps,median_20bps,maxdd_20bps,sortino_20bps
pufferlib_bf16,0,ok,,8192,22.192575888009742,369.13245408461097,0.0,-0.19367231955393724,-0.05738187843949977,0.12227007137031079,-0.5128857538844308,-0.17239661379351093,-0.07992251503665232,0.11171451972092519,-0.6983965985834053,-0.20459961579893138,-0.07716373296998913,0.12632186410739077,-0.6011346957644359,-0.22581793432222164,-0.108959586723064,0.15292520741383642,-0.97672843874747
fp4,0,skip,fp4 lib not built yet: ImportError: cannot import name 'linear' from 'fp4' (unknown location),8192,,,,,,,,,,,,,,,,,,,
hf_trainer,0,ok,,8192,12.591157987015322,650.6152975324454,17.85009765625,-0.19408507611047865,-0.1321712749454872,0.20428295354613574,-0.7769819805355653,-0.21095249181658862,-0.14985030651161801,0.21542037398804803,-0.883959208192107,-0.22758424238776132,-0.167177802447677,0.22871459556397095,-0.9796650570450431,-0.26064641678313466,-0.2012652906047696,0.2514195409761029,-1.2038909998917378
