dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,max_leverage,enable_shorts,trailing_stop_pct,sma_filter_period,market_breadth_filter,mean_sortino,min_sortino,max_sortino,mean_return_pct,min_return_pct,max_return_pct,mean_drawdown_pct,worst_drawdown_pct,mean_n_trades,total_n_trades,mean_win_rate,n_windows,w0_sortino,w0_return_pct,w0_drawdown_pct,w0_n_trades,w1_sortino,w1_return_pct,w1_drawdown_pct,w1_n_trades,w2_sortino,w2_return_pct,w2_drawdown_pct,w2_n_trades
0.1,0.05,0.15,0.08,10,7,10,sma,5.0,False,0.03,20,0.6,242069.3991071561,0.0,726208.1973214683,0.7611855774591518,0.0,2.2835567323774555,0.0,0.0,0.3333333333333333,1,33.333333333333336,3,726208.1973214683,2.2835567323774555,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.2,0.03,0.07,0.15,3,7,30,sma,1.0,False,0.03,20,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.2,0.02,0.1,0.05,10,7,30,close,2.0,False,0.0,20,0.6,213682.88896815918,-93200.37452611483,734250.5896306688,-0.3632854221336917,-2.594905094905098,1.7148170426757678,-1.7750767794443192,-2.594905094905098,1.0,3,33.333333333333336,3,-93200.37452611483,-0.20976821417174507,-0.20976821417174507,1,734250.5896306688,1.7148170426757678,-2.5205570292561146,1,-1.548200076428354,-2.594905094905098,-2.594905094905098,1
0.2,0.03,0.2,0.1,5,21,30,close,2.0,False,0.0,20,0.6,213682.01581117007,-93200.37452611483,734250.5896306688,-2.891590450438713,-10.179820179820162,1.7148170426757678,-4.30338180774934,-10.179820179820162,1.3333333333333333,4,33.333333333333336,3,-93200.37452611483,-0.20976821417174507,-0.20976821417174507,1,734250.5896306688,1.7148170426757678,-2.5205570292561146,1,-4.167671043789438,-10.179820179820162,-10.179820179820162,2
0.07,0.03,0.05,0.05,5,14,10,sma,1.0,False,0.0,20,0.6,-52814.45289053753,-158443.35867161257,0.0,-0.138221740507106,-0.414665221521318,0.0,-0.138221740507106,-0.414665221521318,0.3333333333333333,1,0.0,3,-158443.35867161257,-0.414665221521318,-0.414665221521318,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.05,0.03,0.15,0.1,7,30,10,sma,2.0,False,0.05,10,0.8,-64634.2602781257,-214519.58198705956,20616.80115268246,-0.16628042891432415,-0.5501949372727905,0.05135365052981797,-0.3767017230458487,-0.5799102318647558,1.0,3,16.666666666666668,3,20616.80115268246,0.05135365052981797,-0.5799102318647558,2,-214519.58198705956,-0.5501949372727905,-0.5501949372727905,1,0.0,0.0,0.0,0
0.2,0.02,0.15,0.15,3,21,30,sma,1.0,False,0.03,0,0.8,-84761.29208577068,-254283.87625731202,0.0,-0.1907741783456004,-0.5723225350368012,0.0,-0.1907741783456004,-0.5723225350368012,0.3333333333333333,1,0.0,3,-254283.87625731202,-0.5723225350368012,-0.5723225350368012,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.07,0.02,0.15,0.08,5,14,30,sma,2.0,False,0.0,20,0.0,-94923.10023836618,-284765.8479945404,-0.5149971858202765,-2.6994634447353874,-4.091908091908081,-0.7452662858851545,-3.1358171326960282,-4.570277020294848,1.3333333333333333,4,0.0,3,-284765.8479945404,-0.7452662858851545,-0.7452662858851545,1,-0.5149971858202765,-3.2612159564129253,-4.570277020294848,2,-2.9377233723209804,-4.091908091908081,-4.091908091908081,1
0.07,0.02,0.1,0.2,7,7,10,sma,2.0,False,0.05,0,0.6,-105628.90578107505,-316886.71734322514,0.0,-0.276443481014212,-0.829330443042636,0.0,-0.276443481014212,-0.829330443042636,0.3333333333333333,1,0.0,3,-316886.71734322514,-0.829330443042636,-0.829330443042636,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
0.2,0.05,0.05,0.08,10,14,20,high,3.0,False,0.03,20,0.6,108748.73983638488,-360554.0288964621,817063.3304064734,-0.030186384311164122,-0.9436130205534573,1.2348776223776077,-0.9899128065375771,-1.6443016443016312,1.0,3,33.333333333333336,3,-360554.0288964621,-0.9436130205534573,-0.9436130205534573,1,-130263.08200085665,-0.38182375475764274,-0.38182375475764274,1,817063.3304064734,1.2348776223776077,-1.6443016443016312,1
