dip_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,sma_filter_period,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate,n_trades
0.12,0.1,0.06,3,7,10,10,0.03,0.0858816302072128,8.58816302072128,23.419827331559055,4.369787858945302,-0.021587675361203554,-2.1587675361203553,30,10797.888511671881,0.002924619541469575,60.0,20
0.2,0.07,0.2,5,7,10,0,0.0,0.033931068931068877,3.3931068931068875,17.045462555055188,3.0710203853774236,-0.005562184989457637,-0.5562184989457637,30,10339.310689310689,0.0011774467871713123,100.0,4
0.1,0.07,0.1,3,14,10,10,0.03,0.11518429996859264,11.518429996859265,13.907317049219529,4.9134810775473,-0.036066508093519425,-3.6066508093519425,30,10904.797501682579,0.0038776286116409464,73.33333333333333,30
0.1,0.2,0.1,5,21,10,10,0.03,0.11362359304083723,11.362359304083723,13.900122029787848,4.6673190437123315,-0.03572861412624813,-3.572861412624813,30,10866.028530872401,0.0038381677141299687,68.75,32
0.1,0.07,0.2,7,21,10,10,0.03,0.11490273280850305,11.490273280850305,13.840512370067787,4.906314149925822,-0.03615620070710773,-3.615620070710773,30,10878.509560636217,0.003868709691134796,68.75,32
0.2,0.05,0.08,7,7,10,0,0.0,0.02395104895104905,2.395104895104905,12.03562915097325,2.8838243994731227,-0.005562184989457637,-0.5562184989457637,30,10239.51048951049,0.0008313832980259045,100.0,4
0.12,0.2,0.15,7,7,10,0,0.03,0.2556692860945411,25.56692860945411,10.748528414459237,5.2953155956756355,-0.09593829658551031,-9.593829658551032,30,12365.280765109617,0.008314780067454865,59.523809523809526,84
0.12,0.15,0.15,7,14,10,0,0.03,0.25191633030802746,25.191633030802745,10.603620031808656,5.312807853167147,-0.09586722265946933,-9.586722265946932,30,12328.323301458006,0.008196864982016203,59.523809523809526,84
0.12,0.2,0.08,3,7,10,0,0.03,0.17800469339049982,17.800469339049982,8.748240295751714,4.2317370032521655,-0.10319153147651013,-10.319153147651013,30,11593.142165504918,0.0060218416732898,58.97435897435898,78
0.12,0.15,0.2,3,7,10,10,0.05,0.05062609120108005,5.0626091201080055,8.651470653861205,2.806923589633056,-0.03565760598213359,-3.5657605982133593,30,10447.311276532102,0.001775706499442259,60.0,20
0.12,0.1,0.2,3,7,10,0,0.03,0.16426427412924022,16.42642741292402,7.970779932443856,4.475513131362911,-0.09346235665508777,-9.346235665508777,30,11457.918057482948,0.005531955026914432,58.97435897435898,78
0.1,0.07,0.15,3,7,10,10,0.05,0.05673308333361591,5.673308333361591,7.86069462278513,2.8445479391785424,-0.05206759051923924,-5.206759051923924,30,10333.23396626574,0.001992925186039692,60.0,30
0.12,0.07,0.2,3,21,10,0,0.03,0.16163484997269742,16.16348499726974,7.802963290389279,4.598334661129965,-0.0911360673311408,-9.11360673311408,30,11432.041006032094,0.0054308825410073185,58.97435897435898,78
0.12,0.05,0.2,7,21,10,10,0.05,0.04383922084287062,4.383922084287062,7.468351408880019,2.6192735879606457,-0.03588154142292291,-3.5881541422922907,30,10379.82337782151,0.0015425489880875813,60.0,20
0.12,0.2,0.15,3,7,10,10,0.05,0.04373661920198156,4.373661920198156,7.450575288703872,2.616088642966592,-0.03588494838837086,-3.5884948388370863,30,10378.80311829357,0.0015390242986345042,60.0,20
0.15,0.07,0.1,7,7,10,0,0.0,0.057183525589800485,5.718352558980048,7.089993722749435,2.418683722980549,-0.05026822517850267,-5.026822517850267,30,10559.684187276931,0.002046226009475061,70.0,20
0.12,0.07,0.1,5,21,10,0,0.03,0.16581769545430136,16.581769545430134,7.059085633323734,4.730791308029917,-0.09512220503541528,-9.512220503541528,30,11480.461682758814,0.005554589695996752,59.523809523809526,84
0.1,0.15,0.1,3,21,10,10,0.05,0.041295259332173075,4.129525933217307,6.748535190819873,2.016023854375514,-0.05573442339311843,-5.5734423393118435,30,10182.275649683368,0.0014943808456412482,60.0,30
0.12,0.05,0.15,7,21,10,0,0.03,0.15693164947781948,15.693164947781948,6.73592883603672,4.721210846190051,-0.09947803659496547,-9.947803659496547,30,11392.955796768227,0.00526602854389539,59.523809523809526,84
0.15,0.2,0.1,3,7,10,0,0.0,0.052419789378821864,5.241978937882187,6.502387769277107,1.9454934276676454,-0.03765854796099872,-3.765854796099872,30,10512.101578655249,0.001938609174457875,62.5,16
0.15,0.07,0.1,3,7,10,0,0.03,0.051387463094845445,5.138746309484545,4.9578133308442185,3.18458545684953,-0.036423677770516624,-3.6423677770516623,30,10501.790181179646,0.001785794955225962,66.66666666666666,36
0.12,0.07,0.1,7,21,10,0,0.0,0.08833083190676165,8.833083190676165,4.862685317871514,2.182495235479033,-0.1396166723322224,-13.961667233222242,30,10717.405013312711,0.0033398116820284166,78.94736842105263,40
0.1,0.1,0.1,3,14,10,10,0.05,0.028537615742993728,2.853761574299373,4.687163299514044,1.578609641029314,-0.05639933539124376,-5.639933539124376,30,10057.525399933118,0.0010501979019353737,60.0,30
0.12,0.1,0.2,3,14,10,0,0.0,0.053706651305236726,5.370665130523673,4.618462588788486,1.5693887821984864,-0.07809509504531324,-7.8095095045313245,30,10369.883140414866,0.002130569735113287,66.66666666666666,15
0.1,0.1,0.1,5,7,10,10,0.0,0.03920957062406204,3.920957062406204,4.468380474949676,1.6977818740156085,-0.06247590701739089,-6.247590701739089,30,10139.943976153376,0.0014580767220269669,44.44444444444444,20
0.1,0.15,0.06,3,14,10,10,0.0,0.046603559005110824,4.660355900511083,4.457008812420204,1.818160720313819,-0.09544273431191223,-9.544273431191224,30,10234.182704878876,0.0017330042574219924,30.0,22
0.1,0.07,0.2,5,21,10,10,0.0,0.047623985504760165,4.762398550476017,4.089419790385023,1.2738692783643815,-0.11081393383502378,-11.081393383502377,30,10222.046468176379,0.0020694493966102205,66.66666666666666,19
0.1,0.1,0.2,5,21,10,0,0.0,0.06159222511670784,6.159222511670784,4.064055426011862,1.4143830709971403,-0.10332193056381826,-10.332193056381826,30,10221.781712532105,0.00270409625048386,66.66666666666666,22
