dip_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,trailing_stop_pct,sma_filter_period,max_leverage,safety_core,safety_all,mean_sort_core,mean_sort_all,n_pos_core,n_pos_all,worst_dd_pct,sort_30d,ret_30d,dd_30d,trades_30d,wr_30d,sort_60d,ret_60d,dd_60d,trades_60d,wr_60d,sort_90d,ret_90d,dd_90d,trades_90d,wr_90d,sort_180d,ret_180d,dd_180d,trades_180d,wr_180d,sort_365d,ret_365d,dd_365d,trades_365d,wr_365d,sort_crash_dec_jan,ret_crash_dec_jan,dd_crash_dec_jan,trades_crash_dec_jan,wr_crash_dec_jan,sort_bull_jun_sep,ret_bull_jun_sep,dd_bull_jun_sep,trades_bull_jun_sep,wr_bull_jun_sep
0.12,0.2,0.1,7,21,0.0,20,3.0,118.984,244.8825,50.0,44.1024,3,7,-26.0674,50.0,424.4755,-10.3039,7,0.0,50.0,425.3303,-10.5867,69,16.13,50.0,309.2198,-25.8269,40,5.0,40.1603,289.0195,-25.3966,86,6.98,48.8084,392.7203,-25.6246,128,21.88,50.0,393.4919,-18.5898,48,25.0,19.7483,429.9553,-26.0674,118,33.9
0.12,0.15,0.1,7,7,0.0,20,3.0,119.5284,244.4941,50.0,43.8319,3,7,-25.4932,50.0,424.5504,-10.055,29,45.45,50.0,442.3679,-8.9989,99,30.43,50.0,313.0931,-25.1248,52,15.38,40.1652,289.0195,-25.3959,86,6.98,47.4291,356.7807,-25.4761,178,26.97,50.0,404.3328,-16.8954,72,36.11,19.2292,384.6984,-25.4932,172,32.56
0.1,0.12,0.08,7,7,0.0,20,3.0,116.0431,244.3839,50.0,45.128,3,7,-29.2623,50.0,420.9056,-10.022,41,23.53,50.0,420.907,-11.5702,139,21.21,50.0,309.9274,-25.2372,66,12.12,48.2384,267.148,-29.2623,102,9.8,38.762,336.4436,-25.5566,316,18.35,50.0,370.6061,-20.0204,94,31.91,28.8959,448.4753,-25.497,172,38.37
0.12,0.12,0.1,7,7,0.0,20,3.0,119.4916,244.18,50.0,43.7891,3,7,-25.5318,50.0,424.5504,-9.7806,29,45.45,50.0,441.9293,-9.6145,99,30.43,50.0,310.8476,-25.5318,54,14.81,40.1707,289.0195,-25.3955,86,6.98,50.0,369.806,-25.4535,182,27.47,50.0,398.7715,-16.1925,74,37.84,16.3528,402.1311,-24.828,227,34.51
0.12,0.2,0.1,7,14,0.0,20,3.0,117.5876,243.104,50.0,44.3021,3,7,-27.5645,50.0,424.4755,-10.3039,7,0.0,50.0,426.7743,-12.1824,71,12.5,50.0,309.2198,-25.8269,40,5.0,40.1603,289.0195,-25.3966,86,6.98,44.0671,374.0149,-27.5645,142,22.54,50.0,394.7818,-18.1993,54,29.63,25.887,432.5146,-25.7841,116,32.76
0.12,0.2,0.05,7,7,0.03,20,3.0,119.2623,242.8069,50.0,43.6266,3,7,-25.7732,50.0,441.9436,-2.4112,72,54.55,50.0,424.1695,-10.4006,212,40.78,50.0,424.1695,-15.2913,306,44.0,36.3833,274.8363,-25.7732,118,25.42,48.6331,388.4246,-25.0176,440,38.18,50.0,475.2789,-6.0325,190,53.68,20.3696,438.2715,-21.7265,534,45.32
0.12,0.2,0.05,7,14,0.03,20,3.0,119.2623,242.8069,50.0,43.6266,3,7,-25.7732,50.0,441.9436,-2.4112,72,54.55,50.0,424.1695,-10.4006,212,40.78,50.0,424.1695,-15.2913,306,44.0,36.3833,274.8363,-25.7732,118,25.42,48.6331,388.4246,-25.0176,440,38.18,50.0,475.2789,-6.0325,190,53.68,20.3696,438.2715,-21.7265,534,45.32
0.12,0.2,0.05,7,21,0.03,20,3.0,119.2623,242.8069,50.0,43.6266,3,7,-25.7732,50.0,441.9436,-2.4112,72,54.55,50.0,424.1695,-10.4006,212,40.78,50.0,424.1695,-15.2913,306,44.0,36.3833,274.8363,-25.7732,118,25.42,48.6331,388.4246,-25.0176,440,38.18,50.0,475.2789,-6.0325,190,53.68,20.3696,438.2715,-21.7265,534,45.32
0.1,0.2,0.08,7,7,0.0,0,3.0,106.8692,242.7695,45.3932,44.1932,3,7,-27.4263,50.0,420.9066,-11.3306,53,4.35,36.1795,424.4755,-11.2862,463,1.32,50.0,310.8924,-25.8645,200,2.0,50.0,224.2045,-27.4263,154,0.0,36.2917,382.969,-25.5161,294,9.52,50.0,353.357,-25.2972,256,4.69,36.881,444.7363,-27.0922,298,11.41
0.12,0.2,0.08,7,7,0.0,20,3.0,117.036,241.9609,50.0,44.3015,3,7,-28.1657,50.0,424.5504,-8.933,31,33.33,50.0,431.9919,-8.2704,113,24.53,50.0,310.148,-25.6587,68,20.59,37.1813,292.4907,-25.0982,96,8.33,50.0,386.3563,-27.1428,182,23.08,50.0,379.1388,-20.6647,84,33.33,22.9295,390.5393,-28.1657,172,26.74
