dip_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,trailing_stop_pct,sma_filter_period,max_leverage,mean_sortino,mean_return_pct,worst_dd_pct,mean_trades,mean_win_rate,n_pos_windows,safety,sort_30d,sort_60d,sort_90d,ret_30d,ret_60d,ret_90d,dd_30d,dd_60d,dd_90d,trades_30d,trades_60d,trades_90d
0.15,0.2,0.1,7,14,0.03,20,3.0,50.0,374.8853,-5.8792,113.3,69.15,3,141.6709,50.0,50.0,50.0,224.669,358.2637,541.7232,-4.3907,-4.4896,-5.8792,30,130,180
0.15,0.2,0.1,7,7,0.03,20,3.0,50.0,374.8853,-5.8792,113.3,69.15,3,141.6709,50.0,50.0,50.0,224.669,358.2637,541.7232,-4.3907,-4.4896,-5.8792,30,130,180
0.15,0.12,0.1,7,7,0.03,20,3.0,50.0,363.9573,-5.9081,113.3,69.15,3,141.6323,50.0,50.0,50.0,218.6809,346.2877,526.9031,-4.4713,-4.4896,-5.9081,30,130,180
0.15,0.12,0.1,7,21,0.03,20,3.0,50.0,363.9573,-5.9081,113.3,69.15,3,141.6323,50.0,50.0,50.0,218.6809,346.2877,526.9031,-4.4713,-4.4896,-5.9081,30,130,180
0.15,0.12,0.1,7,14,0.03,20,3.0,50.0,363.9573,-5.9081,113.3,69.15,3,141.6323,50.0,50.0,50.0,218.6809,346.2877,526.9031,-4.4713,-4.4896,-5.9081,30,130,180
0.15,0.2,0.15,7,14,0.03,20,3.0,50.0,389.3326,-5.9255,113.3,72.25,3,141.609,50.0,50.0,50.0,233.3925,375.7074,558.8978,-4.0221,-2.3285,-5.9255,30,130,180
0.15,0.2,0.15,7,7,0.03,20,3.0,50.0,389.3326,-5.9255,113.3,72.25,3,141.609,50.0,50.0,50.0,233.3925,375.7074,558.8978,-4.0221,-2.3285,-5.9255,30,130,180
0.15,0.2,0.15,7,21,0.03,20,3.0,50.0,389.3326,-5.9255,113.3,72.25,3,141.609,50.0,50.0,50.0,233.3925,375.7074,558.8978,-4.0221,-2.3285,-5.9255,30,130,180
0.15,0.15,0.08,7,21,0.03,20,3.0,50.0,358.6146,-7.7931,113.3,67.52,3,139.1555,50.0,50.0,50.0,223.9205,339.9139,512.0095,-4.0221,-2.9451,-7.7931,30,130,180
0.15,0.15,0.08,7,7,0.03,20,3.0,50.0,358.6146,-7.7931,113.3,67.52,3,139.1555,50.0,50.0,50.0,223.9205,339.9139,512.0095,-4.0221,-2.9451,-7.7931,30,130,180
0.15,0.15,0.08,7,14,0.03,20,3.0,50.0,358.6146,-7.7931,113.3,67.52,3,139.1555,50.0,50.0,50.0,223.9205,339.9139,512.0095,-4.0221,-2.9451,-7.7931,30,130,180
0.15,0.2,0.08,7,14,0.03,20,3.0,50.0,364.3032,-7.8152,113.3,67.52,3,139.127,50.0,50.0,50.0,227.663,347.3989,517.8476,-4.0221,-2.8963,-7.8152,30,130,180
0.15,0.2,0.08,7,21,0.03,20,3.0,50.0,364.3032,-7.8152,113.3,67.52,3,139.127,50.0,50.0,50.0,227.663,347.3989,517.8476,-4.0221,-2.8963,-7.8152,30,130,180
0.15,0.2,0.08,7,7,0.03,20,3.0,50.0,364.3032,-7.8152,113.3,67.52,3,139.127,50.0,50.0,50.0,227.663,347.3989,517.8476,-4.0221,-2.8963,-7.8152,30,130,180
0.15,0.1,0.08,7,14,0.03,20,3.0,50.0,353.2687,-7.8527,113.3,67.52,3,139.0786,50.0,50.0,50.0,222.5434,334.7944,502.4682,-4.0221,-2.9794,-7.8527,30,130,180
0.15,0.1,0.08,7,21,0.03,20,3.0,50.0,353.2687,-7.8527,113.3,67.52,3,139.0786,50.0,50.0,50.0,222.5434,334.7944,502.4682,-4.0221,-2.9794,-7.8527,30,130,180
0.15,0.1,0.08,7,7,0.03,20,3.0,50.0,353.2687,-7.8527,113.3,67.52,3,139.0786,50.0,50.0,50.0,222.5434,334.7944,502.4682,-4.0221,-2.9794,-7.8527,30,130,180
0.15,0.12,0.08,7,21,0.03,20,3.0,50.0,353.3751,-7.8536,113.3,67.52,3,139.0774,50.0,50.0,50.0,221.675,335.4229,503.0275,-4.0221,-2.9752,-7.8536,30,130,180
0.15,0.12,0.08,7,14,0.03,20,3.0,50.0,353.3751,-7.8536,113.3,67.52,3,139.0774,50.0,50.0,50.0,221.675,335.4229,503.0275,-4.0221,-2.9752,-7.8536,30,130,180
0.15,0.12,0.08,7,7,0.03,20,3.0,50.0,353.3751,-7.8536,113.3,67.52,3,139.0774,50.0,50.0,50.0,221.675,335.4229,503.0275,-4.0221,-2.9752,-7.8536,30,130,180
0.15,0.15,0.1,5,21,0.03,20,3.0,50.0,315.3277,-8.1127,112.0,68.92,3,138.7441,50.0,50.0,50.0,220.9265,350.7787,374.2781,-4.4407,-4.4896,-8.1127,30,130,176
0.15,0.15,0.1,5,14,0.03,20,3.0,50.0,315.3277,-8.1127,112.0,68.92,3,138.7441,50.0,50.0,50.0,220.9265,350.7787,374.2781,-4.4407,-4.4896,-8.1127,30,130,176
0.15,0.15,0.1,5,7,0.03,20,3.0,50.0,315.3277,-8.1127,112.0,68.92,3,138.7441,50.0,50.0,50.0,220.9265,350.7787,374.2781,-4.4407,-4.4896,-8.1127,30,130,176
0.15,0.2,0.15,10,21,0.05,20,3.0,50.0,396.3942,-8.1406,114.0,48.77,3,138.7083,50.0,50.0,50.0,217.3111,368.5571,603.3144,-4.4056,-7.5932,-8.1406,30,130,182
0.15,0.2,0.15,10,14,0.05,20,3.0,50.0,396.3942,-8.1406,114.0,48.77,3,138.7083,50.0,50.0,50.0,217.3111,368.5571,603.3144,-4.4056,-7.5932,-8.1406,30,130,182
0.15,0.2,0.15,10,7,0.05,20,3.0,50.0,396.3942,-8.1406,114.0,48.77,3,138.7083,50.0,50.0,50.0,217.3111,368.5571,603.3144,-4.4056,-7.5932,-8.1406,30,130,182
0.15,0.2,0.1,5,21,0.03,20,3.0,50.0,321.0163,-8.1445,112.0,68.92,3,138.7033,50.0,50.0,50.0,224.669,358.2637,380.1162,-4.3907,-4.4896,-8.1445,30,130,176
0.15,0.2,0.1,5,14,0.03,20,3.0,50.0,321.0163,-8.1445,112.0,68.92,3,138.7033,50.0,50.0,50.0,224.669,358.2637,380.1162,-4.3907,-4.4896,-8.1445,30,130,176
0.15,0.2,0.1,5,7,0.03,20,3.0,50.0,321.0163,-8.1445,112.0,68.92,3,138.7033,50.0,50.0,50.0,224.669,358.2637,380.1162,-4.3907,-4.4896,-8.1445,30,130,176
0.15,0.12,0.1,10,7,0.05,20,3.0,50.0,375.0851,-8.1461,114.0,45.67,3,138.7013,50.0,50.0,50.0,204.2455,343.7413,577.2684,-4.7606,-8.1461,-7.9126,30,130,182
0.15,0.15,0.1,10,21,0.05,20,3.0,50.0,381.0731,-8.1461,114.0,45.67,3,138.7013,50.0,50.0,50.0,206.491,348.2323,588.496,-4.7268,-8.1461,-7.8397,30,130,182
0.15,0.15,0.1,10,7,0.05,20,3.0,50.0,381.0731,-8.1461,114.0,45.67,3,138.7013,50.0,50.0,50.0,206.491,348.2323,588.496,-4.7268,-8.1461,-7.8397,30,130,182
0.15,0.2,0.1,10,7,0.05,20,3.0,50.0,386.8372,-8.1461,114.0,45.67,3,138.7013,50.0,50.0,50.0,210.2335,355.7173,594.5609,-4.6715,-8.1461,-7.8549,30,130,182
0.15,0.15,0.1,10,14,0.05,20,3.0,50.0,381.0731,-8.1461,114.0,45.67,3,138.7013,50.0,50.0,50.0,206.491,348.2323,588.496,-4.7268,-8.1461,-7.8397,30,130,182
0.15,0.12,0.1,10,21,0.05,20,3.0,50.0,375.0851,-8.1461,114.0,45.67,3,138.7013,50.0,50.0,50.0,204.2455,343.7413,577.2684,-4.7606,-8.1461,-7.9126,30,130,182
0.15,0.2,0.1,10,21,0.05,20,3.0,50.0,386.8372,-8.1461,114.0,45.67,3,138.7013,50.0,50.0,50.0,210.2335,355.7173,594.5609,-4.6715,-8.1461,-7.8549,30,130,182
0.15,0.2,0.1,10,14,0.05,20,3.0,50.0,386.8372,-8.1461,114.0,45.67,3,138.7013,50.0,50.0,50.0,210.2335,355.7173,594.5609,-4.6715,-8.1461,-7.8549,30,130,182
0.15,0.12,0.1,10,14,0.05,20,3.0,50.0,375.0851,-8.1461,114.0,45.67,3,138.7013,50.0,50.0,50.0,204.2455,343.7413,577.2684,-4.7606,-8.1461,-7.9126,30,130,182
0.15,0.12,0.1,5,14,0.03,20,3.0,50.0,310.0882,-8.2001,112.0,68.92,3,138.632,50.0,50.0,50.0,218.6809,346.2877,365.296,-4.4713,-4.4896,-8.2001,30,130,176
0.15,0.12,0.1,5,7,0.03,20,3.0,50.0,310.0882,-8.2001,112.0,68.92,3,138.632,50.0,50.0,50.0,218.6809,346.2877,365.296,-4.4713,-4.4896,-8.2001,30,130,176
0.15,0.12,0.1,5,21,0.03,20,3.0,50.0,310.0882,-8.2001,112.0,68.92,3,138.632,50.0,50.0,50.0,218.6809,346.2877,365.296,-4.4713,-4.4896,-8.2001,30,130,176
0.15,0.2,0.15,5,21,0.03,20,3.0,50.0,335.4635,-8.2087,112.0,72.03,3,138.621,50.0,50.0,50.0,233.3925,375.7074,397.2907,-4.0221,-2.3285,-8.2087,30,130,176
0.15,0.2,0.15,5,14,0.03,20,3.0,50.0,335.4635,-8.2087,112.0,72.03,3,138.621,50.0,50.0,50.0,233.3925,375.7074,397.2907,-4.0221,-2.3285,-8.2087,30,130,176
0.15,0.2,0.15,5,7,0.03,20,3.0,50.0,335.4635,-8.2087,112.0,72.03,3,138.621,50.0,50.0,50.0,233.3925,375.7074,397.2907,-4.0221,-2.3285,-8.2087,30,130,176
0.12,0.2,0.15,10,7,0.03,20,3.0,50.0,619.0429,-9.0388,204.0,63.57,3,137.5657,50.0,50.0,50.0,467.4929,653.6347,736.001,-2.0689,-8.7114,-9.0388,72,216,324
0.12,0.2,0.15,10,14,0.03,20,2.0,50.0,379.3619,-9.0388,204.0,63.57,3,137.5657,50.0,50.0,50.0,278.3286,402.4231,457.334,-2.0689,-8.7141,-9.0388,72,216,324
0.12,0.2,0.15,10,7,0.03,20,2.0,50.0,379.3619,-9.0388,204.0,63.57,3,137.5657,50.0,50.0,50.0,278.3286,402.4231,457.334,-2.0689,-8.7141,-9.0388,72,216,324
0.12,0.2,0.15,10,21,0.03,20,2.0,50.0,379.3619,-9.0388,204.0,63.57,3,137.5657,50.0,50.0,50.0,278.3286,402.4231,457.334,-2.0689,-8.7141,-9.0388,72,216,324
0.12,0.2,0.15,10,14,0.03,20,3.0,50.0,619.0429,-9.0388,204.0,63.57,3,137.5657,50.0,50.0,50.0,467.4929,653.6347,736.001,-2.0689,-8.7114,-9.0388,72,216,324
0.12,0.2,0.15,10,21,0.03,20,3.0,50.0,619.0429,-9.0388,204.0,63.57,3,137.5657,50.0,50.0,50.0,467.4929,653.6347,736.001,-2.0689,-8.7114,-9.0388,72,216,324
0.15,0.2,0.05,10,14,0.03,20,3.0,49.4787,377.5765,-8.3392,115.3,50.91,3,137.0106,48.4362,50.0,50.0,135.3983,304.0349,693.2964,-7.4085,-4.3706,-8.3392,30,130,186
0.15,0.2,0.05,10,21,0.03,20,3.0,49.4787,377.5765,-8.3392,115.3,50.91,3,137.0106,48.4362,50.0,50.0,135.3983,304.0349,693.2964,-7.4085,-4.3706,-8.3392,30,130,186
0.15,0.2,0.05,10,7,0.03,20,3.0,49.4787,377.5765,-8.3392,115.3,50.91,3,137.0106,48.4362,50.0,50.0,135.3983,304.0349,693.2964,-7.4085,-4.3706,-8.3392,30,130,186
0.15,0.15,0.1,7,7,0.05,20,3.0,50.0,325.8618,-10.135,112.7,45.27,3,136.1964,50.0,50.0,50.0,206.491,348.2323,422.8623,-4.7268,-8.1461,-10.135,30,130,178
0.15,0.15,0.1,7,21,0.05,20,3.0,50.0,325.8618,-10.135,112.7,45.27,3,136.1964,50.0,50.0,50.0,206.491,348.2323,422.8623,-4.7268,-8.1461,-10.135,30,130,178
0.15,0.15,0.1,7,14,0.05,20,3.0,50.0,325.8618,-10.135,112.7,45.27,3,136.1964,50.0,50.0,50.0,206.491,348.2323,422.8623,-4.7268,-8.1461,-10.135,30,130,178
0.15,0.15,0.08,10,7,0.05,20,3.0,50.0,374.5836,-10.1689,114.0,44.05,3,136.1545,50.0,50.0,50.0,209.485,340.2484,574.0175,-4.4056,-6.0746,-10.1689,30,130,182
0.15,0.15,0.08,10,21,0.05,20,3.0,50.0,374.5836,-10.1689,114.0,44.05,3,136.1545,50.0,50.0,50.0,209.485,340.2484,574.0175,-4.4056,-6.0746,-10.1689,30,130,182
0.15,0.15,0.08,10,14,0.05,20,3.0,50.0,374.5836,-10.1689,114.0,44.05,3,136.1545,50.0,50.0,50.0,209.485,340.2484,574.0175,-4.4056,-6.0746,-10.1689,30,130,182
0.15,0.2,0.08,10,7,0.05,20,3.0,50.0,380.3478,-10.1887,114.0,44.05,3,136.1301,50.0,50.0,50.0,213.2275,347.7334,580.0824,-4.4056,-6.0746,-10.1887,30,130,182
0.15,0.2,0.08,10,14,0.05,20,3.0,50.0,380.3478,-10.1887,114.0,44.05,3,136.1301,50.0,50.0,50.0,213.2275,347.7334,580.0824,-4.4056,-6.0746,-10.1887,30,130,182
0.15,0.2,0.08,10,21,0.05,20,3.0,50.0,380.3478,-10.1887,114.0,44.05,3,136.1301,50.0,50.0,50.0,213.2275,347.7334,580.0824,-4.4056,-6.0746,-10.1887,30,130,182
0.15,0.12,0.1,7,21,0.05,20,3.0,50.0,320.6223,-10.2161,112.7,45.27,3,136.0962,50.0,50.0,50.0,204.2455,343.7413,413.8802,-4.7606,-8.1461,-10.2161,30,130,178
0.15,0.12,0.1,7,7,0.05,20,3.0,50.0,320.6223,-10.2161,112.7,45.27,3,136.0962,50.0,50.0,50.0,204.2455,343.7413,413.8802,-4.7606,-8.1461,-10.2161,30,130,178
0.15,0.12,0.1,7,14,0.05,20,3.0,50.0,320.6223,-10.2161,112.7,45.27,3,136.0962,50.0,50.0,50.0,204.2455,343.7413,413.8802,-4.7606,-8.1461,-10.2161,30,130,178
0.15,0.2,0.1,7,7,0.05,20,3.0,50.0,330.3785,-10.2284,112.7,45.27,3,136.0811,50.0,50.0,50.0,210.2335,355.7173,425.1847,-4.6715,-8.1461,-10.2284,30,130,178
0.15,0.2,0.1,7,21,0.05,20,3.0,50.0,330.3785,-10.2284,112.7,45.27,3,136.0811,50.0,50.0,50.0,210.2335,355.7173,425.1847,-4.6715,-8.1461,-10.2284,30,130,178
0.15,0.2,0.1,7,14,0.05,20,3.0,50.0,330.3785,-10.2284,112.7,45.27,3,136.0811,50.0,50.0,50.0,210.2335,355.7173,425.1847,-4.6715,-8.1461,-10.2284,30,130,178
0.15,0.12,0.08,10,14,0.05,20,3.0,50.0,368.5956,-10.2635,114.0,44.05,3,136.0378,50.0,50.0,50.0,207.2395,335.7574,562.7899,-4.4056,-6.0746,-10.2635,30,130,182
0.15,0.12,0.08,10,21,0.05,20,3.0,50.0,368.5956,-10.2635,114.0,44.05,3,136.0378,50.0,50.0,50.0,207.2395,335.7574,562.7899,-4.4056,-6.0746,-10.2635,30,130,182
0.15,0.12,0.08,10,7,0.05,20,3.0,50.0,368.5956,-10.2635,114.0,44.05,3,136.0378,50.0,50.0,50.0,207.2395,335.7574,562.7899,-4.4056,-6.0746,-10.2635,30,130,182
0.15,0.1,0.08,10,7,0.05,20,3.0,50.0,371.6761,-10.3179,114.0,44.05,3,135.9706,50.0,50.0,50.0,209.7568,336.7777,568.4937,-4.4056,-6.0746,-10.3179,30,130,182
0.15,0.1,0.08,10,14,0.05,20,3.0,50.0,371.6761,-10.3179,114.0,44.05,3,135.9706,50.0,50.0,50.0,209.7568,336.7777,568.4937,-4.4056,-6.0746,-10.3179,30,130,182
