variant,max_leverage,start_date,end_date,n_trades,final_base_asset_qty,max_base_asset_value,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate
cash_aggressive,1.0,2026-01-13,2026-03-14,31,0.0,0.0,0.044054363304868636,4.405436330486864,1.8025141176130166,1.784667994143618,-0.071568114322905,-7.1568114322905,61,10440.543633048686,0.000750759086210397,60.0
cash_aggressive,2.0,2026-01-13,2026-03-14,31,0.0,0.0,0.08548853601991105,8.548853601991105,1.8182619071812636,1.7289090501460083,-0.14181142116782458,-14.181142116782459,61,10854.88536019911,0.0015028920471461186,60.0
cash_aggressive,3.0,2026-01-13,2026-03-14,31,0.0,0.0,0.07820983527184744,7.820983527184744,1.2846661541387328,1.1746381505801031,-0.2111917665150257,-21.11917665150257,61,10782.098352718474,0.0015684746836570863,60.0
cash_aggressive,4.0,2026-01-13,2026-03-14,12,0.0,0.0,-0.22658299221107264,-22.658299221107264,-4.549842759838511,-5.696001139519154,-0.2570344658803423,-25.70344658803423,35,7734.170077889274,-0.007221115189154409,16.666666666666664
cash_aggressive,5.0,2026-01-13,2026-03-14,12,0.0,0.0,-0.2296002345891904,-22.96002345891904,-4.4646621635362855,-5.675643882809973,-0.2600650351166111,-26.006503511661112,35,7703.997654108096,-0.007323477666135135,16.666666666666664
eth_idle_always,1.0,2026-01-13,2026-03-14,8,0.0,10087.49721873102,-0.29753440218722715,-29.753440218722716,-11.380475408626628,-9.602544166268434,-0.30362746816088726,-30.362746816088727,19,7024.655978127728,-0.018711944701039655,25.0
eth_idle_always,2.0,2026-01-13,2026-03-14,8,0.0,10167.767648792505,-0.2627600468728153,-26.276004687281528,-10.503443485021563,-8.66295662360128,-0.2749244685830944,-27.49244685830944,18,7372.399531271847,-0.017042512366042352,25.0
eth_idle_always,3.0,2026-01-13,2026-03-14,8,0.0,10274.593183804487,-0.2368842753664836,-23.68842753664836,-11.778874228778976,-10.66538275579041,-0.25727889077263777,-25.727889077263775,11,7631.157246335164,-0.025568800587834666,25.0
eth_idle_always,4.0,2026-01-13,2026-03-14,8,0.0,10380.502654730453,-0.23012413252756742,-23.01241325275674,-10.430592569931806,-9.560197980466153,-0.25834432774640653,-25.834432774640653,10,7698.758674724326,-0.027092409988584514,25.0
eth_idle_always,5.0,2026-01-13,2026-03-14,8,0.0,10380.502654730453,-0.23192721652727633,-23.192721652727634,-10.430976411494328,-9.577479988401556,-0.2600813187763036,-26.00813187763036,10,7680.727834727237,-0.027323805153484277,25.0
eth_idle_trend,1.0,2026-01-13,2026-03-14,31,3.214527858903967,10087.49721873102,-0.07043892254834172,-7.043892254834172,-1.529158560480174,-1.7968621289266857,-0.10517674467942523,-10.517674467942523,61,9295.610774516583,-0.0011422266644355872,60.0
eth_idle_trend,2.0,2026-01-13,2026-03-14,31,2.2134544198986936,10167.767648792505,-0.0245353267592267,-2.45353267592267,-0.27653043522011184,-0.23696271030039598,-0.14780084615716307,-14.780084615716307,61,9754.646732407733,-0.0002357767575059123,60.0
eth_idle_trend,3.0,2026-01-13,2026-03-14,31,0.9770807490249216,10274.593183804487,-0.027954424373458825,-2.7954424373458826,-0.10261931810917826,-0.08215934497232069,-0.21609804449543704,-21.609804449543706,61,9720.455756265412,-0.00011675303051940693,60.0
eth_idle_trend,4.0,2026-01-13,2026-03-14,14,0.0,10380.502654730453,-0.23160248191485353,-23.16024819148535,-4.437367359704488,-5.835709389936552,-0.25976848747783576,-25.976848747783578,35,7683.975180851465,-0.007410088268039335,28.57142857142857
eth_idle_trend,5.0,2026-01-13,2026-03-14,12,0.0,10380.502654730453,-0.23410874926718217,-23.41087492671822,-4.385837347256762,-5.816901945275002,-0.2621828863135092,-26.218288631350923,35,7658.912507328178,-0.007495648712490926,16.666666666666664
