max_leverage,base_asset_sma_filter_period,base_asset_momentum_period,base_asset_min_momentum,n_trades,final_base_asset_qty,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate
2.0,50,3,0.0,31,0.0,0.07943202647194085,7.943202647194085,1.7441244382537353,1.6126298061021833,-0.14258725083596194,-14.258725083596193,61,10794.320264719408,0.001411333941896279,60.0
2.0,50,3,0.01,31,0.0,0.07943202647194085,7.943202647194085,1.7441244382537353,1.6126298061021833,-0.14258725083596194,-14.258725083596193,61,10794.320264719408,0.001411333941896279,60.0
2.0,50,3,0.02,31,0.0,0.07943202647194085,7.943202647194085,1.7441244382537353,1.6126298061021833,-0.14258725083596194,-14.258725083596193,61,10794.320264719408,0.001411333941896279,60.0
2.0,50,3,0.05,31,0.0,0.07943202647194085,7.943202647194085,1.7441244382537353,1.6126298061021833,-0.14258725083596194,-14.258725083596193,61,10794.320264719408,0.001411333941896279,60.0
2.0,50,5,0.0,31,0.0,0.07529325868576998,7.529325868576999,1.694766590973861,1.532941032802182,-0.14780084615716307,-14.780084615716307,61,10752.9325868577,0.0013486566514269835,60.0
2.0,50,5,0.01,31,0.0,0.07529325868576998,7.529325868576999,1.694766590973861,1.532941032802182,-0.14780084615716307,-14.780084615716307,61,10752.9325868577,0.0013486566514269835,60.0
2.0,50,5,0.02,31,0.0,0.07529325868576998,7.529325868576999,1.694766590973861,1.532941032802182,-0.14780084615716307,-14.780084615716307,61,10752.9325868577,0.0013486566514269835,60.0
2.0,50,5,0.05,31,0.0,0.07529325868576998,7.529325868576999,1.694766590973861,1.532941032802182,-0.14780084615716307,-14.780084615716307,61,10752.9325868577,0.0013486566514269835,60.0
3.0,50,3,0.0,31,0.0,0.07401038599914664,7.4010385999146635,1.232191221512759,1.1228853064249948,-0.21198137493503902,-21.198137493503904,61,10740.103859991466,0.0015060877116227966,60.0
3.0,50,3,0.01,31,0.0,0.07401038599914664,7.4010385999146635,1.232191221512759,1.1228853064249948,-0.21198137493503902,-21.198137493503904,61,10740.103859991466,0.0015060877116227966,60.0
3.0,50,3,0.02,31,0.0,0.07401038599914664,7.4010385999146635,1.232191221512759,1.1228853064249948,-0.21198137493503902,-21.198137493503904,61,10740.103859991466,0.0015060877116227966,60.0
3.0,50,3,0.05,31,0.0,0.07401038599914664,7.4010385999146635,1.232191221512759,1.1228853064249948,-0.21198137493503902,-21.198137493503904,61,10740.103859991466,0.0015060877116227966,60.0
3.0,50,5,0.0,31,0.0,0.06982813511045806,6.982813511045806,1.1827653893450483,1.0714818019069126,-0.21609804449543704,-21.609804449543706,61,10698.28135110458,0.0014438618831620236,60.0
3.0,50,5,0.01,31,0.0,0.06982813511045806,6.982813511045806,1.1827653893450483,1.0714818019069126,-0.21609804449543704,-21.609804449543706,61,10698.28135110458,0.0014438618831620236,60.0
