dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,sma_filter_period,market_breadth_filter,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate,n_trades
0.25,0.02,0.2,0.2,5,21,30,sma,0,0.0,0.05,0.10922564157287107,10.922564157287107,3981203.348070684,1.516417975921059,-0.14421650900951652,-14.421650900951652,61,11092.25641572871,0.0020838570730764496,75.0,37
0.2,0.03,0.1,0.2,3,14,10,high,50,0.6,0.0,0.024450549450549443,2.4450549450549444,778285.2936051015,2.5233099608100478,-0.0023898428095829906,-0.23898428095829904,61,10244.505494505494,0.00040737314127305845,100.0,2
0.2,0.02,0.07,0.08,5,21,10,sma,0,0.0,0.05,0.01269358141858138,1.2693581418581381,586923.3873753889,0.4218870249369535,-0.0750667133958791,-7.50667133958791,61,10126.935814185814,0.0003072097416799616,66.66666666666666,12
0.07,0.005,0.1,0.2,3,21,30,sma,20,0.7,0.05,0.014677092576192444,1.4677092576192443,467269.8538400193,2.5144685619503644,0.0,0.0,61,10146.770925761924,0.00024458021980509876,100.0,2
0.07,0.02,0.05,0.08,5,7,10,sma,20,0.0,0.03,0.011975524475524435,1.1975524475524435,380528.495846375,3.0947293194621888,0.0,0.0,61,10119.755244755244,0.00019917771795326347,100.0,2
0.2,0.02,0.15,0.2,5,14,10,sma,0,0.6,0.03,0.004308818028963287,0.4308818028963287,137199.75476221665,2.48725565191158,0.0,0.0,61,10043.088180289633,7.181363381605479e-05,0.0,4
0.25,0.03,0.07,0.1,3,14,20,high,20,0.0,0.05,0.015330357388726406,1.5330357388726406,9.770205828570575,3.173834673082993,-0.0016351770768080313,-0.16351770768080312,61,10153.303573887264,0.00025476897140578556,50.0,4
0.15,0.03,0.1,0.08,3,21,20,high,20,0.0,0.03,0.1661034173060043,16.61034173060043,6.389416422071142,4.112001168747902,-0.03126904728829958,-3.126904728829958,61,11661.034173060043,0.0026378564035003465,61.76470588235294,68
0.2,0.005,0.2,0.2,3,7,20,high,20,0.0,0.0,0.05852426322733718,5.852426322733717,3.671580999217642,2.352954388433639,-0.03170827387160316,-3.170827387160316,61,10585.242632273372,0.0009793498381804788,100.0,4
0.2,0.03,0.07,0.1,5,14,30,high,50,0.7,0.0,0.05089660339660331,5.089660339660331,3.6318261732314787,3.5294643964948595,-0.011015332051848743,-1.1015332051848743,61,10508.966033966033,0.0008379035942666746,100.0,6
0.2,0.03,0.1,0.15,3,14,20,high,20,0.6,0.03,0.05121981832295551,5.121981832295551,3.167170607524588,2.6769874414502146,-0.019508493369989464,-1.9508493369989464,61,10512.198183229555,0.0008510374267359847,71.42857142857143,14
0.15,0.005,0.05,0.25,3,14,10,high,20,0.0,0.05,0.028239830208382773,2.8239830208382775,2.986233938167419,1.6939072749967055,-0.022027913036277127,-2.2027913036277127,61,10282.398302083828,0.0004786589870665266,60.0,20
0.15,0.03,0.1,0.25,5,7,30,high,50,0.7,0.03,0.030197385673266398,3.0197385673266397,2.399298595560457,1.8335515706925603,-0.019084858304000904,-1.9084858304000905,61,10301.973856732664,0.0005098895384846485,43.75,32
0.15,0.03,0.1,0.25,3,14,20,high,20,0.6,0.03,0.060887345042760714,6.088734504276071,2.261153510386276,2.1277126515957083,-0.03910011839040571,-3.910011839040571,61,10608.873450427607,0.0010274996101869232,52.63157894736842,38
0.2,0.005,0.15,0.15,3,21,20,high,20,0.0,0.03,0.02466953321060355,2.466953321060355,1.8024027383489978,1.278290454220694,-0.019986729825792644,-1.9986729825792644,61,10246.695332106035,0.00042605452285974485,50.0,4
0.15,0.005,0.05,0.1,5,14,10,high,50,0.0,0.0,0.03442807192807177,3.442807192807177,1.5080833597013734,1.4325308866033406,-0.031497313379125924,-3.149731337912592,61,10344.280719280718,0.0005951363863154867,83.33333333333334,12
0.07,0.03,0.05,0.08,3,14,30,sma,20,0.0,0.0,0.015467032967033082,1.5467032967033083,1.4512876254483438,1.6837516684989036,-0.020613310390607983,-2.061331039060798,61,10154.67032967033,0.00026020216275017826,75.0,8
0.2,0.01,0.15,0.25,5,21,20,high,20,0.0,0.05,0.027656196651020946,2.765619665102095,1.3403458576359524,1.418968618690539,-0.02488866712032941,-2.488866712032941,61,10276.56196651021,0.00047473137638321224,66.66666666666666,6
0.07,0.03,0.2,0.1,3,21,10,sma,0,0.0,0.05,0.04181937643643632,4.181937643643632,0.7892332260118958,0.7102778260066951,-0.31973050439341244,-31.973050439341243,61,10418.193764364363,0.0013978867650161085,45.78313253012048,169
0.15,0.03,0.1,0.1,3,7,20,high,20,0.6,0.0,0.013744591799165028,1.374459179916503,0.7879272930486024,0.41354979266059033,-0.10587844806595773,-10.587844806595772,61,10137.44591799165,0.0003686155610090542,46.666666666666664,30
0.2,0.005,0.05,0.15,5,14,30,high,50,0.0,0.0,0.011975524475524435,1.1975524475524435,0.7061687960165001,1.021400453708111,-0.01452764618184774,-1.452764618184774,61,10119.755244755244,0.0002057381378869439,100.0,2
0.15,0.02,0.07,0.1,3,21,10,sma,0,0.0,0.03,0.07632845525615631,7.632845525615631,0.5517655569210907,1.5496843640850226,-0.09885567447213399,-9.885567447213399,61,10763.284552561563,0.0013742557880750544,76.92307692307693,29
0.2,0.005,0.1,0.25,5,14,20,sma,0,0.0,0.05,0.08930155287901508,8.930155287901508,0.5042042308776082,1.3009470550641846,-0.14959451381370434,-14.959451381370434,61,10893.01552879015,0.0017842747823435404,75.0,37
0.2,0.03,0.05,0.2,3,14,30,high,20,0.0,0.03,0.0166847843186879,1.66847843186879,0.4705526352336392,0.6740227425061387,-0.03895716127249863,-3.8957161272498633,61,10223.7451434943,0.00031605484521435404,61.904761904761905,42
0.15,0.01,0.05,0.15,5,7,20,high,50,0.7,0.0,0.012336982475518015,1.2336982475518015,0.4689115658739129,0.5043372420811647,-0.038998222073181835,-3.8998222073181834,61,10123.36982475518,0.00024794679461228046,71.42857142857143,14
0.2,0.03,0.05,0.1,5,7,20,high,20,0.6,0.05,0.0030603664088208462,0.3060366408820846,0.33403525762591846,0.24099300585387262,-0.03256622947353362,-3.2566229473533617,61,10030.603664088208,6.356382769357183e-05,42.857142857142854,14
0.15,0.02,0.2,0.08,3,7,10,high,20,0.0,0.05,0.0016633339795049324,0.16633339795049323,0.1774499816432421,0.14903911658132155,-0.026908564831612903,-2.6908564831612902,61,10016.63333979505,4.2364436880346776e-05,40.0,30
0.1,0.02,0.2,0.25,5,21,10,high,20,0.6,0.03,0.003718583988033034,0.3718583988033034,0.1522318777918052,0.21745121681064358,-0.06018576460878465,-6.018576460878465,61,10039.365185824565,0.00010508746778167543,56.00000000000001,50
0.1,0.03,0.1,0.08,5,7,10,high,50,0.7,0.03,0.0017965021563511982,0.17965021563511982,0.10400748891437563,0.14954321402708748,-0.07940413550853366,-7.940413550853366,61,10017.965021563512,7.006342169555274e-05,52.63157894736842,38
0.1,0.01,0.15,0.15,5,14,10,high,20,0.6,0.03,-0.0018745619493642789,-0.1874561949364279,0.027739555585982335,0.03664846447702706,-0.06183721744023177,-6.183721744023177,61,9983.421582210056,1.9201060808999557e-05,52.17391304347826,46
0.2,0.02,0.2,0.15,3,7,20,sma,50,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0,0
