checkpoint,strategy,window,source,epoch,mean_alloc_pct,max_alloc_pct,mean_gross,max_gross,daily_total_return,daily_sortino,daily_max_drawdown,hourly_total_return,hourly_sortino,hourly_max_drawdown
robust_reg_tp01,fixed_1x,full_range,fixed,,0.19999999999999998,0.2,0.9999999999999999,1.0,0.9988070507504381,2.302548927224675,0.46387247046942365,0.4559225529914731,1.0473624743198937,0.47595364922238786
robust_reg_tp01,fixed_1x,latest_60d,fixed,,0.19999999999999996,0.2,0.9999999999999998,1.0,0.08863491213694379,1.7740262554369925,0.19176786291059297,0.027390864813352893,0.5869038719670006,0.25964451358421614
robust_reg_tp01,fixed_5x,full_range,fixed,,1.0,1.0,5.0,5.0,-1.7352943724823533,-1.4984014698126897,1.3283350035202106,-1.7389221955845962,-0.2801467503144997,1.338944961933949
robust_reg_tp01,fixed_5x,latest_60d,fixed,,1.0,1.0,5.0,5.0,-0.2878843327471699,1.6513213867993226,0.7606082965377409,-0.4913279278951055,0.7998292987805039,0.8803469596940829
robust_reg_tp01,default,full_range,refiner,6.0,0.027809991042740293,0.7165003418922424,0.13904995521370148,3.582501709461212,0.29062764838637634,1.9161726690119658,0.21435850233832404,0.19991154588176924,0.9854449857183096,0.2476124714253066
robust_reg_tp01,default,latest_60d,refiner,6.0,0.030294555841310748,0.3807826042175293,0.15147277920655375,1.9039130210876465,-0.11696443855352863,-2.999265956286027,0.1381499932949499,-0.167915361167636,-3.512680038508224,0.2184229081621808
robust_reg_tp01,moderate,full_range,refiner,1.0,0.013664198775301653,0.16889216005802155,0.06832099387650827,0.8444608002901077,0.0996496884329732,3.8581462254898056,0.02561052272700578,0.004361879140261772,0.13441642258041164,0.06257516537742829
robust_reg_tp01,moderate,latest_60d,refiner,1.0,0.011788389762918764,0.037750259041786194,0.058941948814593824,0.18875129520893097,-0.011070973084033358,-2.2568053616560353,0.02216087191267928,-0.022775531434910044,-2.8317719208491363,0.03738602066297294
robust_reg_tp01,midhard,full_range,refiner,11.0,0.0024138468508241263,0.09697866439819336,0.012069234254120632,0.4848933219909668,0.031147151114805274,1.5508576074304437,0.02760605604424637,0.02725907213330738,1.0406294648400856,0.032520657773453254
robust_reg_tp01,midhard,latest_60d,refiner,11.0,0.0024628959365022096,0.03377123177051544,0.012314479682511047,0.1688561588525772,-0.007962629429441585,-2.295324093913365,0.010223389331816653,-0.012944082601071568,-3.061331076640679,0.018715930473976055
robust_reg_tp01,ddhard,full_range,refiner,11.0,0.0025373894027252097,0.2568192481994629,0.012686947013626049,1.2840962409973145,0.04371317556587237,0.9252214589212474,0.06511724926924868,0.042109115202979046,0.7163147738211233,0.07684103018904377
robust_reg_tp01,ddhard,latest_60d,refiner,11.0,0.002164459821839138,0.07044254243373871,0.010822299109195691,0.35221271216869354,-0.017346320028144693,-2.4131331125274937,0.019950919608656432,-0.018779921331951666,-2.4524835456580303,0.032653380067769716
robust_reg_tp01,ddultra,full_range,refiner,10.0,0.004891018147887108,0.06735793501138687,0.024455090739435543,0.33678967505693436,0.018585997496445635,1.7138286036258914,0.02097362572481598,0.008151962126264152,0.3071147742505414,0.03492282604493029
robust_reg_tp01,ddultra,latest_60d,refiner,10.0,0.005092498724967315,0.050995104014873505,0.025462493624836578,0.2549755200743675,0.0008857105235236304,0.5293844258597853,0.006326157900306159,-0.014707233022364017,-2.1374364853257264,0.024423387695111667
