trial,description,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
10,slip_5bps,holdout_robust_score,-99.21518471990531,0.1163,1.61,0.5819,76.0,167.5951,43.36,0.89,7241728,300.6895115375519,,,,,-99.21518471990531,-4.117276982061806,-10.805369104085216,-20.949273725987506,-1.284762848611788,26.634717826041122,0.55,-1.9795147544833525,-18.13725587529731,0.08823736670783916,24.569617120535398,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
11,slip_10bps,holdout_robust_score,-95.67084322961749,0.1153,1.8,0.577,88.0,155.9939,43.32,0.89,7143424,300.9833335876465,,,,,-95.67084322961749,4.464764279538742,-6.545661224535684,-21.258595900591327,-1.1901327894560945,29.475380229947877,0.55,-0.780307644677332,-10.737055905841155,0.43509409896662044,27.327082066472176,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
12,fee_2x,holdout_robust_score,-196.26476582051774,-0.1412,-0.56,0.5398,0.0,193.0444,49.27,0.89,6979584,300.8589038848877,,,,,-196.26476582051774,-18.906096838024077,-27.499063299115388,-42.32237410504779,-4.385813154005201,48.90098572273415,0.95,-18.769586680755957,-35.56570584455307,-2.9907411414262848,46.6899306665462,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
13,trade_pen_01,none,,,,,,132.7893,41.98,0.88,6520832,301.09442806243896,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate.py"", line 452, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate.py"", line 335, in main ckpt = torch.load(args.checkpoint, map_location=device, weigh...","Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 453, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 288, in main payload = torch.load(str(Path(args.checkpoint...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
14,trade_pen_05,,,,,,,,,,0,,no checkpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
15,downside_pen,,,,,,,,,,0,,no checkpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.5,0.0,0.02,0.0,0.99
16,smooth_ds,,,,,,,,,,0,,no checkpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.5,0.02,0.0,0.99
17,reg_combo_1,,,,,,,,,,0,,no checkpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,8.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
18,reg_combo_2,,,,,,,,,,0,,no checkpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
19,reg_combo_3,,,,,,,,,,0,,no checkpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.005,5.0,True,True,True,False,cosine,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
