seed,med_pct,p10_pct,neg_50win,ensemble_med,ensemble_neg,verdict
202,-1.872,-7.238,40,0.000,-1,NOT_DEPLOYABLE
204,-9.841,-19.426,44,0.000,-1,NOT_DEPLOYABLE
