trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
11,slip_10bps,a100,val_return,-0.1227,-0.1227,5.81,0.5041,0.0,508.0925,29.29,0.58,6881280,84.86816000938416,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
12,fee_2x,a100,val_return,0.0251,0.0251,4.83,0.5487,100.0,302.3455,29.08,0.57,5767168,86.05815696716309,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.002,0.0,0.0,0.0,0.0,0.02,0.0,0.99
13,trade_pen_01,a100,val_return,-0.8022,-0.8022,-16.32,0.4105,0.0,958.5213,34.71,0.57,6979584,81.26791405677795,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
14,trade_pen_05,a100,val_return,-0.2235,-0.2235,2.35,0.4854,0.0,9819.4287,70.1,0.65,8912896,81.87507486343384,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
15,downside_pen,a100,val_return,-0.3356,-0.3356,-2.13,0.4615,0.0,1920.8353,39.83,0.62,8880128,81.59563517570496,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.5,0.0,0.02,0.0,0.99
16,smooth_ds,a100,val_return,-0.5688,-0.5688,-3.96,0.4851,0.0,729.4139,30.02,0.57,7208960,84.58984208106995,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.5,0.02,0.0,0.99
17,reg_combo_1,a100,val_return,-0.4617,-0.4617,-6.11,0.5156,0.0,721.0017,32.27,0.59,5668864,85.64321446418762,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,8.0,False,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.02,0.0,0.99
18,reg_combo_2,a100,val_return,1.2549,1.2549,14.36,0.5929,100.0,7.502236996762128e+20,308.49,1.0,14450688,181.21971821784973,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
19,reg_combo_3,a100,val_return,1.3083,1.3083,16.8,0.5909,100.0,1.836128123390578e+20,296.98,1.0,7077888,81.95506596565247,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.005,5.0,True,True,True,False,cosine,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
20,robust_reg_wd02,a100,val_return,-0.0144,-0.0144,2.34,0.5091,0.0,1.053212512544306e+19,276.77,0.98,6062080,85.34791779518127,,"/workspace/stock-prediction/.venv313/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you. import pynvml # type: ignore[import] Traceback (most recent call last): File ""<frozen runpy>"",...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.02,8.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
