trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,h100_mut2272_style,h100,holdout_robust_score,-87.68511143524645,0.0874,0.33,0.5,100.0,2.4515,4.19,0.59,19202048,90.46537494659424,,,,,-87.68511143524645,-1.2181081197051007,-7.937801138518303,-17.10202515847699,-0.9751468275019329,25.407558188414043,0.55,-2.1813308206863438,-9.658609144830272,-0.014869144781264124,25.407558188414033,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.03,0.005,12.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,h100_mut2272_slip5,h100,holdout_robust_score,-138.7970484467359,-0.3152,-2.05,0.4706,0.0,1.8412,3.52,0.58,18874368,90.33608293533325,,,,,-138.7970484467359,-7.851558365828749,-21.372024292774505,-30.060098411036908,-3.8298676480584612,33.42280459525819,0.65,-8.610368361657983,-25.84196191560887,-1.5072462286729302,29.608610789487305,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.03,0.005,5.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
2,h100_slip_10bps,h100,holdout_robust_score,-139.1537617345616,-0.171,-0.51,0.4386,0.0,1.7965,3.35,0.58,18612224,90.42716550827026,,,,,-139.1537617345616,-9.660515373833238,-16.68190788845443,-29.065277301802833,-3.0410111847176786,34.920094412967224,0.75,-9.253845378465677,-26.855797039456732,-1.41599568535212,34.92009441296715,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
3,h100_slip_5bps,h100,holdout_robust_score,-134.2860757950905,-0.2112,-1.11,0.5429,0.0,1.7914,3.57,0.58,19070976,90.5033745765686,,,,,-134.2860757950905,-10.24445003285918,-18.23466906297327,-26.84269085293677,-2.527075067024458,28.126781498490644,0.85,-14.469466899093058,-21.642105851704027,-1.8526464818071144,28.009920730886556,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
4,h100_ent_05,h100,holdout_robust_score,-77.11406093585532,0.1167,0.51,0.5,100.0,2.0491,3.69,0.58,18153472,90.52726531028748,,,,,-77.11406093585532,0.6738150521358783,-2.9236249524819096,-15.809208140461179,-0.16819309734588983,25.332891079493518,0.5,0.9881170282905442,-9.658609144830272,0.454525045439636,25.265690681465085,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
