checkpoint,universe,period,return_pct,annualized_pct,sortino,max_dd_pct,num_trades,win_rate,avg_hold
autoresearch_crypto8_daily/fee_2x,8sym,30,-7.12,-59.31,-0.494,18.55,24,62.5,1.2
autoresearch_crypto8_daily/fee_2x,8sym,60,-21.38,-76.86,-1.564,33.65,49,49.0,1.2
autoresearch_crypto8_daily/fee_2x,8sym,90,-33.59,-80.99,-1.822,46.59,77,51.9,1.2
autoresearch_crypto8_daily/fee_2x,8sym,120,-35.84,-74.07,-1.215,46.42,101,52.5,1.2
autoresearch_crypto8_daily/fee_2x,8sym,180,-41.21,-65.94,-0.982,50.67,153,49.0,1.2
autoresearch_crypto8_daily/gamma_999,8sym,30,-6.17,-53.92,-0.368,18.55,27,70.4,1.1
autoresearch_crypto8_daily/gamma_999,8sym,60,-5.08,-27.16,0.072,25.34,50,52.0,1.2
autoresearch_crypto8_daily/gamma_999,8sym,90,-16.64,-52.2,-0.599,40.07,72,52.8,1.2
autoresearch_crypto8_daily/gamma_999,8sym,120,-28.57,-64.06,-0.847,40.49,102,52.0,1.2
autoresearch_crypto8_daily/gamma_999,8sym,180,-58.71,-83.36,-1.857,65.69,148,52.0,1.2
autoresearch_crypto8_daily/h256,8sym,30,-3.46,-34.85,-0.002,14.56,22,54.5,1.4
autoresearch_crypto8_daily/h256,8sym,60,-17.86,-69.79,-1.751,23.06,40,40.0,1.5
autoresearch_crypto8_daily/h256,8sym,90,-41.28,-88.46,-3.181,50.15,69,44.9,1.3
autoresearch_crypto8_daily/h256,8sym,120,-21.34,-51.82,-0.564,33.44,89,53.9,1.3
autoresearch_crypto8_daily/h256,8sym,180,-47.84,-73.28,-1.517,52.69,140,50.7,1.3
autoresearch_crypto8_daily/h512,8sym,30,-22.57,-95.55,-3.073,26.5,26,61.5,1.2
autoresearch_crypto8_daily/h512,8sym,60,-20.36,-74.97,-1.532,32.76,52,48.1,1.2
autoresearch_crypto8_daily/h512,8sym,90,-34.79,-82.35,-2.084,52.41,76,48.7,1.2
autoresearch_crypto8_daily/h512,8sym,120,-19.5,-48.31,-0.277,44.86,101,55.4,1.2
autoresearch_crypto8_daily/h512,8sym,180,-45.22,-70.49,-1.101,55.86,150,50.7,1.2
autoresearch_crypto8_daily/h512_wd01,8sym,30,73.58,81928.55,19.126,6.47,23,73.9,1.3
autoresearch_crypto8_daily/h512_wd01,8sym,60,60.46,1675.39,6.947,23.61,50,56.0,1.2
autoresearch_crypto8_daily/h512_wd01,8sym,90,6.93,31.23,1.093,49.79,76,53.9,1.2
autoresearch_crypto8_daily/h512_wd01,8sym,120,-3.58,-10.51,0.472,49.54,103,53.4,1.2
autoresearch_crypto8_daily/h512_wd01,8sym,180,-13.2,-24.95,0.139,56.36,150,48.7,1.2
autoresearch_crypto8_daily/kitchen_sink,8sym,30,22.95,1135.63,6.719,18.28,22,63.6,1.4
autoresearch_crypto8_daily/kitchen_sink,8sym,60,2.3,14.81,0.855,37.53,43,53.5,1.4
