description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
stocks15_tp05_s15,0.07,0.74,0.5714,-108.53072471965328,0,333,f1296ca1,2026-03-24T08:33:32
stocks15_tp05_s36,0.3695,1.84,0.6333,-92.28487858892157,0,332,4647536e,2026-03-24T08:39:04
stocks15_tp05_s123,0.8312,3.41,0.6333,-59.249021491950096,0,332,929bd8ae,2026-03-24T08:44:36
stocks15_tp05_s42,0.4168,2.9,0.6842,0.4168,0,316,81055e2f,2026-03-24T09:09:58
stocks15_tp05_s7,0.652,4.84,0.6923,0.652,0,317,64a0d1c4,2026-03-24T09:15:15
stocks15_tp05_s1,0.2737,2.02,0.5532,0.2737,0,317,dd6073e9,2026-03-24T09:20:32
stocks15_tp05_s2,-0.0454,-0.22,0.6,-0.0454,0,319,bfe0668e,2026-03-24T09:34:04
stocks15_tp05_s3,0.4085,2.75,0.5897,0.4085,0,316,94d47281,2026-03-24T09:39:20
