symbol,split_date,factor,status
LCID,2023-05-19,0.0,UNRECOGNIZED_DROP
LCID,2023-05-25,0.0,UNRECOGNIZED_DROP
LCID,2023-06-02,0.0,UNRECOGNIZED_DROP
LCID,2023-06-15,0.0,UNRECOGNIZED_DROP
LCID,2023-06-22,0.0,UNRECOGNIZED_DROP
LCID,2023-06-29,0.0,UNRECOGNIZED_DROP
LCID,2023-07-07,0.0,UNRECOGNIZED_DROP
LCID,2023-07-13,0.0,UNRECOGNIZED_DROP
LCID,2023-07-25,0.0,UNRECOGNIZED_DROP
LCID,2023-07-31,0.0,UNRECOGNIZED_DROP
LCID,2023-08-09,0.0,UNRECOGNIZED_DROP
LCID,2023-08-22,0.0,UNRECOGNIZED_DROP
LCID,2023-08-28,0.0,UNRECOGNIZED_DROP
LCID,2023-09-05,0.0,UNRECOGNIZED_DROP
LCID,2023-09-12,0.0,UNRECOGNIZED_DROP
LCID,2023-09-18,0.0,UNRECOGNIZED_DROP
LCID,2023-09-29,0.0,UNRECOGNIZED_DROP
LCID,2023-10-05,0.0,UNRECOGNIZED_DROP
LCID,2023-10-12,0.0,UNRECOGNIZED_DROP
LCID,2023-10-19,0.0,UNRECOGNIZED_DROP
LCID,2023-10-25,0.0,UNRECOGNIZED_DROP
LCID,2023-11-06,0.0,UNRECOGNIZED_DROP
LCID,2023-11-10,0.0,UNRECOGNIZED_DROP
LCID,2023-11-20,0.0,UNRECOGNIZED_DROP
LCID,2023-11-28,0.0,UNRECOGNIZED_DROP
LCID,2023-12-04,0.0,UNRECOGNIZED_DROP
LCID,2023-12-15,0.0,UNRECOGNIZED_DROP
LCID,2023-12-21,0.0,UNRECOGNIZED_DROP
LCID,2023-12-29,0.0,UNRECOGNIZED_DROP
LCID,2024-01-12,0.0,UNRECOGNIZED_DROP
LCID,2024-01-26,0.0,UNRECOGNIZED_DROP
LCID,2024-02-01,0.0,UNRECOGNIZED_DROP
LCID,2024-02-08,0.0,UNRECOGNIZED_DROP
LCID,2024-02-15,0.0,UNRECOGNIZED_DROP
LCID,2024-02-22,0.0,UNRECOGNIZED_DROP
LCID,2024-03-05,0.0,UNRECOGNIZED_DROP
LCID,2024-03-15,0.0,UNRECOGNIZED_DROP
LCID,2024-03-21,0.0,UNRECOGNIZED_DROP
