trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_daily_pnl_smoothness,replay_daily_ulcer_index,replay_daily_goodness_score,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_pnl_smoothness,replay_hourly_ulcer_index,replay_hourly_goodness_score,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,replay_hourly_policy_pnl_smoothness,replay_hourly_policy_ulcer_index,replay_hourly_policy_goodness_score,replay_daily_robust_median_return_pct,replay_daily_robust_worst_return_pct,replay_daily_robust_worst_sortino,replay_daily_robust_worst_max_drawdown_pct,replay_hourly_robust_median_return_pct,replay_hourly_robust_worst_return_pct,replay_hourly_robust_worst_sortino,replay_hourly_robust_worst_max_drawdown_pct,replay_hourly_policy_robust_median_return_pct,replay_hourly_policy_robust_worst_return_pct,replay_hourly_policy_robust_worst_sortino,replay_hourly_policy_robust_worst_max_drawdown_pct,replay_combo_score,replay_combo_return_mean_pct,replay_combo_return_worst_pct,replay_combo_sortino_p25,replay_combo_max_drawdown_worst_pct,replay_combo_negative_return_rate,replay_combo_scenario_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,reg_combo_2,a40,replay_hourly_policy_robust_worst_return_pct,-76.89873210847122,0.0414,0.61,0.5252,53.0,0.4015,3.32,0.58,11894784,131.50136065483093,,,,,-210.13683022916504,0.8714566168234867,-30.1244773638477,-62.72655602085945,-1.9543243012971956,64.52884335882024,0.55,-7.31624098408558,-55.25202253197512,-0.216822803092231,60.73143977670037,,,,,,-33.52148868874682,-6.34575415125053,34.85841137083153,26.0,0.0456538840347405,21.93716789458521,-45.56801820516291,-39.79013867238515,-1.6201458856665594,46.71795615135948,17.0,34.0,0.007237378961855529,37.45505689511393,-49.510837225346066,-76.79617668042152,-1.6900781625693688,79.80327234978873,280.0,560.0,0.010021864127449735,65.58838686681096,-92.83908401254689,-33.52148868874682,-33.98903833370885,-6.45623886140069,34.858411370831654,-39.79013867238515,-40.20814801391959,-1.6974744316333845,46.71795615135951,-76.70000112368956,-76.89873210847122,-1.7076928255843908,79.92358047774822,-307.3902448065501,-47.47448567848466,-76.79617668042152,-2.853997159739659,79.80327234978873,1.0,4.0,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,robust_reg_tp005_ent_seed42,a40,replay_hourly_policy_robust_worst_return_pct,-32.28337894954236,-0.0779,-0.18,0.4131,32.0,1.6267,10.02,0.62,11894784,137.2460036277771,,,,,-222.51093124331067,-8.872368582090933,-39.844202520734626,-58.99345547603658,-3.2634898376482786,59.43824164984335,0.7,-14.688719047807359,-44.85296355270866,-0.4550785136553088,52.07546044111151,,,,,,-6.234884672009885,-0.5265370951229801,28.140728251882358,17.0,0.05072073765759349,16.550940253328857,-11.99274996592513,-6.406387828667085,-0.13544835043458026,28.57820247620945,17.0,34.0,0.006527492811306338,11.528829220679244,-10.676458386682986,-32.2664582546271,-2.136574484977169,73.80871033341167,267.0,534.0,0.011121365087549602,43.522042564153324,-46.187944799140816,-6.258308383058492,-6.258308383058582,-0.5303646859731301,28.14072825188239,-6.406387828667085,-6.697865582683465,-0.1493182770083659,28.578202476209473,-32.28337894954236,-32.28337894954236,-2.136574484977173,73.81525324864192,-187.7374380659933,-12.82852964599279,-32.2664582546271,-0.9290464425865274,73.80871033341167,1.0,4.0,,,,,,,,1024,0.0003,0.08,0.05,8.0,True,True,True,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.0,0.99
2,robust_reg_tp005_ent_seed7,a40,replay_hourly_policy_robust_worst_return_pct,-64.12506916717726,-0.0784,-0.12,0.4745,38.0,0.9348,5.05,0.6,11894784,131.38308095932007,,,,,-237.4854867644876,-21.73596288640925,-38.284168847995886,-60.346481619000954,-2.172656983995722,67.55863343766278,0.75,-21.276338314718917,-46.88079198604462,-0.5783751686451777,57.221410524612004,,,,,,-0.15910330537795744,0.523187602773807,25.331246003923408,28.0,0.050930280946484545,15.206440266892516,-5.121519285981229,17.158194493354223,0.7117807578728054,29.03576385389336,21.0,42.0,0.008255091034539584,11.89571714809909,13.454867547458297,-63.91622322061393,-2.331150683977172,89.97011520472765,607.0,1214.0,0.016870096643387393,68.32857551580254,-82.0670464683908,-0.18404482341301184,-6.138246713760035,-0.6141913188003003,26.106188202123576,16.97291728197352,13.781791475711755,0.6092844686756741,29.035763853893364,-63.9252374041709,-64.12506916717726,-2.331150683977172,90.09885815978832,-223.59888331470344,-7.439734384820859,-63.91622322061393,-0.19039696891393765,89.97011520472765,0.5,4.0,,,,,,,,1024,0.0003,0.08,0.05,8.0,True,True,True,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.0,0.99
3,robust_reg_tp005_ent_seed123,a40,replay_hourly_policy_robust_worst_return_pct,6.963114422534266,-0.0577,-0.31,0.4999,32.0,-0.0359,0.23,0.5,11894784,134.58209586143494,,,,,-205.95712253353466,-13.10887234260261,-38.75664549242444,-53.48696045465886,-2.9065467450725726,59.497804775279384,0.55,-5.776363825205135,-44.182353449964,-0.022767310044457423,48.741044651764525,,,,,,-15.179126791851214,-2.8196820271431187,27.43645792418355,17.0,0.03994493533535315,17.07558679949122,-22.720005028931535,-4.898548956531958,-0.043976308323710786,31.6122901488755,7.0,14.0,0.007057856454079443,10.113367719433215,-9.355407358279406,7.287479426288537,-1.4426905732783848,70.21537124591988,18.0,36.0,0.01248665758211393,34.08920234620552,-4.898343553080278,-15.179126791851214,-15.775679999370332,-2.9518029833193316,27.94680416487896,-4.898548956531958,-5.558794538453237,-0.07116651397516054,31.612290148875516,7.323909932489975,6.963114422534266,-1.4521535703201216,70.21537124591988,-141.5402105665866,-4.422186319656648,-15.179126791851214,-1.7869384367445682,70.21537124591988,0.75,4.0,,,,,,,,1024,0.0003,0.08,0.05,8.0,True,True,True,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.0,0.99
4,per_env_adv_smooth,a40,replay_hourly_policy_robust_worst_return_pct,29.501871383505176,0.0422,0.52,0.642,63.0,1.8104,13.41,0.61,11894784,135.99944758415222,,,,,-182.3560522965904,-6.61682062000142,-31.811033192801762,-45.71935986084767,-2.5850967743317756,48.85124720236027,0.65,-24.478134785333566,-40.334628791323716,-1.3603519914681625,48.521844374219555,,,,,,9.797286895865655,2.4852662346244387,20.106574517566127,1.0,0.04435794539108338,8.96449332814717,8.696909725309498,9.92395919621622,0.5148797778334693,23.156466893936916,1.0,2.0,0.006458903671618764,6.168328422953596,7.25484534882654,29.534230671706936,-0.9316736549656851,68.84295417309559,1.0,2.0,0.011143908983918984,30.960223262442156,18.182985684181816,9.769858145704337,9.769858145704301,2.4798691836609508,20.106574517566127,9.92395919621622,9.581623987693202,0.5085724798816605,23.156466893936916,29.501871383505176,29.501871383505176,-0.9316736549656852,68.84295417309559,-39.38763210062806,14.79485899000126,9.797286895865655,0.15324141963368065,68.84295417309559,0.0,4.0,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.2,0.02,0.01,0.99
5,gspo_like_drawdown_mix15,a40,replay_hourly_policy_robust_worst_return_pct,-38.51134331016094,0.1674,1.3,0.546,58.0,1.1666,5.12,0.58,11894784,141.28268718719482,,,,,-278.5465521638151,-20.87670376402058,-51.50025640134322,-77.1492753385289,-3.5285514531963416,77.12561087270173,0.65,-28.415154650186093,-73.08240392550304,-1.5700168042319729,74.33469158867743,,,,,,-13.933028254067976,-1.8578676672260963,32.06358337293124,29.0,0.04619910417900813,11.41772410498391,-21.346084528134227,-11.06299281133186,-0.31005122647707617,33.14043729092952,24.0,48.0,0.006817342501473206,26.330679358327583,-17.209452322157006,-38.01585999641897,0.3645837179585555,74.4371171347392,106.0,212.0,0.01169719300536927,38.69469188646714,-49.62481111430529,-9.852217921554205,-13.933028254067976,-1.8578676672260963,32.063583372931326,-7.4645575670163975,-11.06299281133186,-0.31005122647707617,33.140437290929526,-38.351334042873674,-38.51134331016094,0.3516675638171191,74.4371171347392,-204.271610729295,-18.518718468287666,-38.01585999641897,-0.6970053366643312,74.4371171347392,1.0,4.0,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.02,0.0,0.2,0.01,0.005,0.99
