strategy,window,start_date,end_date,daily_return_pct,daily_sortino,daily_max_drawdown_pct,hourly_return_pct,hourly_sortino,hourly_max_drawdown_pct,hourly_trade_count,hourly_order_count
reg_combo_2,current_20251208_20260205,2025-12-08,2026-02-05,30.241110964089312,4.215273283532887,21.593127951969592,27.529402246029335,2.160276176760618,34.212028199782814,40,80
reg_combo_2,prev_20251009_20251207,2025-10-09,2025-12-07,20.568752406147105,2.486463812937152,21.3128676716094,29.23389077722473,2.000668859938125,21.478797445648276,41,82
reg_combo_2,older_20250810_20251008,2025-08-10,2025-10-08,21.574808513420376,3.4487038519797903,23.452249495577007,21.330120301132354,2.094294187828394,25.246799059200796,38,76
ent_anneal,current_20251208_20260205,2025-12-08,2026-02-05,62.368688279459604,8.923733532176636,15.538701258126602,8.017693753522034,1.0103424325618056,34.77380319929813,41,82
ent_anneal,prev_20251009_20251207,2025-10-09,2025-12-07,-32.260430767936185,-2.896022869735449,42.76998269187324,-42.43417334543151,-2.2921464847856137,49.39796209272911,40,80
ent_anneal,older_20250810_20251008,2025-08-10,2025-10-08,-26.826592009603146,-3.1183665697298286,30.49903124888417,-9.50869620974794,-0.4022315149361079,28.664935214078312,41,82
robust_reg_tp01,current_20251208_20260205,2025-12-08,2026-02-05,10.212247355040036,1.9615703300370557,18.88795082091513,4.00749944858253,0.6900677538880625,25.797751780213197,32,64
robust_reg_tp01,prev_20251009_20251207,2025-10-09,2025-12-07,24.89565368571102,2.5790761389653634,25.696973632287712,30.398152956639592,2.0172110471104228,28.250566922954366,40,80
robust_reg_tp01,older_20250810_20251008,2025-08-10,2025-10-08,-14.885261499304306,-1.4761587710558575,28.234512575061732,-15.236111982774329,-0.9390535997113805,30.965560997359347,35,70
robust_reg_tp005_sds02,current_20251208_20260205,2025-12-08,2026-02-05,-6.404135547598762,-1.0139219002786934,17.30470923774659,-33.271800039989245,-2.8313131991930884,36.07729560460384,14,28
robust_reg_tp005_sds02,prev_20251009_20251207,2025-10-09,2025-12-07,-27.54203014066785,-2.795968031777342,32.90296762524077,-44.641594894927586,-3.3227723897998445,46.91629892684988,16,32
robust_reg_tp005_sds02,older_20250810_20251008,2025-08-10,2025-10-08,-18.077004915945217,-3.0928026893381513,27.928688369204092,7.926276732993211,1.0175180834146131,25.848152985699464,11,22
robust_reg_tp005_ent,current_20251208_20260205,2025-12-08,2026-02-05,-21.552243641679787,-2.9116080803473463,31.572329545214807,-23.219755088028666,-1.1017862656667556,37.8049851477487,33,66
robust_reg_tp005_ent,prev_20251009_20251207,2025-10-09,2025-12-07,-20.75044290689193,-1.7287225176887309,35.31568155394467,-14.686991723432218,-0.5803432933352554,41.799123682180905,38,76
robust_reg_tp005_ent,older_20250810_20251008,2025-08-10,2025-10-08,-13.998698544841481,-1.3432577215362798,29.527769894631483,-6.1686470746075255,-0.111428172139367,31.86547193050277,34,68
robust_reg_h512_tp005,current_20251208_20260205,2025-12-08,2026-02-05,-5.3677402551759945,-0.05694293227677483,33.200113144392155,-1.2864354184262266,0.47246611239773706,45.1524188325162,38,76
robust_reg_h512_tp005,prev_20251009_20251207,2025-10-09,2025-12-07,106.53198850134791,8.172750442329592,19.174399680945093,115.22042357940975,5.037017103431274,23.323240068539207,32,64
robust_reg_h512_tp005,older_20250810_20251008,2025-08-10,2025-10-08,-35.77879323141191,-3.383635426560952,43.26104220875501,-48.55007422684034,-4.5008737381951915,53.873244267409746,35,70
