trial,description,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smoothness_penalty,gamma
0,robust_reg_wd02,replay_hourly_return_pct,-41.72177328538978,0.0116,0.72,0.5631,62.0,1949.7222,72.05,0.99,11796480,180.55056834220886,,,,,-170.72512293658735,-7.295004370695963,-14.630411785520932,-41.277077042300085,-0.8016012969669084,52.075612500951486,0.8,-7.237181013928404,-26.466205087136522,-0.15756877119682056,50.94920992729233,,,,,,-39.0225267705043,-2.839528455127252,52.43616826259794,60.0,-41.72177328538978,-2.1831358202221827,81.23646930934405,37.0,74.0,,,,,,1024,0.0003,0.05,0.02,8.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.0,0.99
1,robust_reg_tp005,replay_hourly_return_pct,-52.5789257970357,0.4922,3.1,0.5601,100.0,1276.2767,65.0,0.97,11403264,180.66896796226501,,,,,-113.97064225071306,34.02199011273611,-2.509889027975282,-42.58649882307122,0.35149445809424307,48.76175318221139,0.25,39.931103377550954,-39.00320418484509,3.465672793448311,47.60791244322334,,,,,,-55.551284648806806,-2.9754209251769494,59.399643388338404,57.0,-52.5789257970357,-2.1110245962397034,80.17713136456021,56.0,112.0,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.0,0.99
2,robust_reg_tp01,replay_hourly_return_pct,-3.573250698768497,0.6443,3.71,0.5549,100.0,1758.8384,70.89,0.99,11534336,180.59926772117615,,,,,-95.92453987675636,28.936199792704883,2.1186099530193725,-33.4997352217778,0.7112592009969895,46.226940306706545,0.25,24.016402875487184,-24.45043404501932,2.351115545973994,44.130471950764544,,,,,,-5.641051594795117,0.45405545269070563,35.79974324340339,49.0,-3.573250698768497,1.254756879408002,36.34224943777573,47.0,94.0,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.01,0.0,0.0,0.0,0.0,0.99
3,robust_reg_tp005_sds02,replay_hourly_return_pct,7.310591266340216,-0.0559,-0.11,0.5262,0.0,1685.564,71.96,0.98,11632640,180.2120749950409,,,,,-147.264817524737,-7.525394348441843,-21.794318949897367,-31.80063894675962,-1.995415862815991,42.58624365530601,0.65,-11.301654811115021,-23.81852154102878,-0.8314495817857457,42.58624365530599,,,,,,3.961233298502484,0.8717233250258344,27.809609345586882,34.0,7.310591266340216,1.4757274336568134,40.571540932981485,23.0,46.0,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.2,0.0,0.99
4,robust_reg_tp005_dd002,replay_hourly_return_pct,-26.840879845190102,0.3545,2.49,0.5437,100.0,1200.1724,67.68,0.95,11665408,180.31828022003174,,,,,-95.23515062889395,40.63358528612572,17.156551429889358,-45.180693760123575,1.838215242836729,49.55327862293185,0.2,45.10012552632894,-40.27245117638676,3.8102921560816028,43.13062020613871,,,,,,13.436038776755469,1.5516421234750133,30.39092154893204,54.0,-26.840879845190102,-1.854924994957167,81.0994790157755,40.0,80.0,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.02,0.0,0.0,0.0,0.99
5,robust_reg_tp005_sm001,replay_hourly_return_pct,-8.825637461352052,0.2274,1.58,0.528,99.0,1716.1807,71.76,0.98,11534336,180.38567280769348,,,,,-140.6582555643829,14.768997147543464,-16.41796425931202,-44.95530697479845,-0.5569987551227371,49.4149095330154,0.3,13.801495455671404,-36.1053027977566,1.620922013836521,47.9148398891153,,,,,,-5.83175667548503,0.18682066429288954,39.67043820505385,71.0,-8.825637461352052,-1.3934359032112527,75.84499179687903,71.0,142.0,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.01,0.99
6,robust_reg_tp005_ent,replay_hourly_return_pct,-1.9728853584582613,-0.0769,0.31,0.5289,1.0,840.8024,58.94,0.95,11501568,180.39347171783447,,,,,-191.94750156045302,-16.11998708840396,-34.66519018313626,-45.59313663938477,-2.316889070508705,48.36099104406904,0.75,-16.436359450649423,-39.96330528669177,-1.0768183639067792,48.01512711173679,,,,,,-10.753062108029244,-0.6170039868324263,24.838458637673412,57.0,-1.9728853584582613,1.3528174565357343,30.97234094173941,48.0,96.0,,,,,,1024,0.0003,0.08,0.05,8.0,True,True,True,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.0,0.99
7,robust_reg_h512_tp005,replay_hourly_return_pct,-18.91748844667718,0.4942,2.49,0.5579,100.0,1833.0902,72.95,0.99,12320768,180.18272256851196,,,,,-71.6404163287826,60.88496117615318,9.8575576807389,-33.016040200129595,1.3714549125579738,43.02723843848983,0.2,54.23627160418438,-29.511611644072538,3.987116983638089,42.406451187444404,,,,,,-13.089270707016004,-0.04081108604261686,30.15454431067764,53.0,-18.91748844667718,-1.540194509349998,73.58906295350118,53.0,106.0,,,,,,512,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.0,0.99
