Date,High,Low,Open,Close,Volume,Adj Close
2021-10-15,115.45999908447266,93.5,105.0,115.0,4949400,115.0
2021-10-18,114.48999786376953,103.01000213623047,114.3499984741211,105.5199966430664,1803400,105.5199966430664
2021-10-19,109.81999969482422,99.55000305175781,105.77999877929688,107.72000122070312,1498600,107.72000122070312
2021-10-20,110.33999633789062,100.12000274658203,110.33999633789062,105.55999755859375,2346500,105.55999755859375
2021-10-21,113.45999908447266,104.0,109.0,112.66999816894531,1113700,112.66999816894531
2021-10-22,120.97000122070312,105.5,106.16999816894531,120.02999877929688,892300,120.02999877929688
2021-10-25,132.34500122070312,121.54000091552734,122.95999908447266,121.9000015258789,585100,121.9000015258789
2021-10-26,125.36000061035156,107.83999633789062,125.25,108.94000244140625,922300,108.94000244140625
2021-10-27,113.5739974975586,105.19999694824219,109.0,105.20999908447266,390200,105.20999908447266
2021-10-28,109.90599822998047,103.12000274658203,105.5,107.80000305175781,479600,107.80000305175781
2021-10-29,112.51000213623047,108.01000213623047,108.25,112.19999694824219,310200,112.19999694824219
2021-11-01,116.72000122070312,111.51499938964844,113.6500015258789,115.72000122070312,427400,115.72000122070312
2021-11-02,119.61299896240234,115.72000122070312,115.72000122070312,119.01000213623047,240900,119.01000213623047
2021-11-03,119.5,113.0199966430664,119.0,113.75,151500,113.75
2021-11-04,120.87000274658203,113.91600036621094,114.37999725341797,119.02999877929688,372900,119.02999877929688
2021-11-05,128.0,119.5,119.5,123.54000091552734,345100,123.54000091552734
2021-11-08,134.3000030517578,125.52999877929688,126.0,130.8800048828125,521600,130.8800048828125
2021-11-09,137.0,123.62000274658203,132.0,130.80999755859375,610200,130.80999755859375
2021-11-10,132.99000549316406,127.0,130.77999877929688,128.66000366210938,375400,128.66000366210938
2021-11-11,134.0399932861328,121.12999725341797,129.97999572753906,121.73999786376953,321900,121.73999786376953
2021-11-12,130.27000427246094,122.76000213623047,122.94999694824219,125.0,255400,125.0
2021-11-15,127.56999969482422,117.01000213623047,127.41999816894531,119.55000305175781,283500,119.55000305175781
2021-11-16,124.33000183105469,117.5199966430664,120.0,121.62999725341797,303700,121.62999725341797
2021-11-17,124.27999877929688,117.5199966430664,121.0,119.05000305175781,350800,119.05000305175781
2021-11-18,120.80000305175781,113.26100158691406,119.0999984741211,115.55999755859375,307900,115.55999755859375
2021-11-19,116.41000366210938,110.5999984741211,114.52999877929688,112.01000213623047,523900,112.01000213623047
