strategy,window,daily_return_pct,daily_max_drawdown_pct,hourly_return_pct,hourly_max_drawdown_pct
ent_anneal,2025-12-08..2026-02-05,62.368688279459604,15.538701258126602,8.017693753522034,34.77380319929813
reg_combo_2,2025-12-08..2026-02-05,30.241110964089312,21.593127951969592,27.529402246029335,34.212028199782814
wd_01,2025-12-08..2026-02-05,13.251355881799991,20.189622189194747,11.106874309239338,26.52487731386501
meta_sticky_return_lb14_hl5_sm001,2025-12-08..2026-02-05,74.25606931279923,13.82793606600636,41.27274137299877,24.85866980189407
ent_anneal,2025-10-09..2025-12-07,-32.260430767936185,42.76998269187324,-42.43417334543151,49.39796209272911
reg_combo_2,2025-10-09..2025-12-07,20.568752406147105,21.3128676716094,29.23389077722473,21.478797445648276
wd_01,2025-10-09..2025-12-07,-16.196040361413633,28.464813177619796,-15.005263263437953,33.719821887267344
meta_sticky_return_lb14_hl5_sm001,2025-10-09..2025-12-07,-28.47864773309675,28.407054787884633,-47.78631655643962,50.852316543194384
ent_anneal,2025-08-10..2025-10-08,-26.826592009603146,30.49903124888417,-9.50869620974794,28.664935214078312
reg_combo_2,2025-08-10..2025-10-08,21.574808513420376,23.452249495577007,21.330120301132354,25.246799059200796
wd_01,2025-08-10..2025-10-08,-51.87287596871381,54.1003964321302,-42.46987039028244,47.584027905077086
meta_sticky_return_lb14_hl5_sm001,2025-08-10..2025-10-08,-20.463434878562385,28.133440467480014,-4.75079781431261,28.817791195786178
