checkpoint,universe,period,return_pct,annualized_pct,sortino,max_dd_pct,num_trades,win_rate,avg_hold
mixed23_fresh_replay/reg_combo_2,23sym,120,125.2,1081.46,5.65,27.34,64,57.8,1.9
mixed23_fresh_replay/wd_01,23sym,30,11.11,260.49,3.746,14.6,24,62.5,1.2
mixed23_fresh_replay/wd_01,23sym,60,7.51,55.32,1.621,22.55,46,63.0,1.3
mixed23_fresh_replay/wd_01,23sym,120,-23.3,-55.37,-0.903,47.88,92,60.9,1.3
mixed23_fresh_robust/robust_reg_h512_tp005,23sym,30,21.65,985.12,5.922,20.37,16,68.8,1.9
mixed23_fresh_robust/robust_reg_h512_tp005,23sym,60,23.47,260.63,3.393,23.1,37,67.6,1.6
mixed23_fresh_robust/robust_reg_h512_tp005,23sym,120,331.95,8466.04,10.383,19.38,74,71.6,1.6
mixed23_fresh_robust/robust_reg_tp005,23sym,30,21.21,938.8,6.85,9.18,13,61.5,2.3
mixed23_fresh_robust/robust_reg_tp005,23sym,60,29.53,382.66,4.383,12.08,32,68.8,1.9
mixed23_fresh_robust/robust_reg_tp005,23sym,120,209.15,2996.89,9.747,16.76,76,67.1,1.6
mixed23_fresh_robust/robust_reg_tp005_dd002,23sym,30,-9.43,-70.03,-2.052,19.73,19,42.1,1.6
mixed23_fresh_robust/robust_reg_tp005_dd002,23sym,60,-19.98,-74.23,-2.558,27.52,34,47.1,1.8
mixed23_fresh_robust/robust_reg_tp005_dd002,23sym,120,111.7,878.84,5.865,23.69,68,60.3,1.8
mixed23_fresh_robust/robust_reg_tp005_ent,23sym,30,-25.37,-97.15,-5.979,29.25,22,45.5,1.4
mixed23_fresh_robust/robust_reg_tp005_ent,23sym,60,-12.62,-55.99,-1.349,30.64,37,51.4,1.6
mixed23_fresh_robust/robust_reg_tp005_ent,23sym,120,-21.15,-51.47,-1.04,33.73,81,53.1,1.5
mixed23_fresh_robust/robust_reg_tp005_sds02,23sym,30,4.12,63.42,2.373,7.58,4,75.0,7.5
mixed23_fresh_robust/robust_reg_tp005_sds02,23sym,60,2.94,19.25,0.977,14.57,19,73.7,3.2
mixed23_fresh_robust/robust_reg_tp005_sds02,23sym,120,-18.59,-46.51,-1.211,42.59,43,53.5,2.8
